,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,1.8546187,1.7276546,1.9973439,1.5413402,1.6752131,1.906856,1.2809591,1.6523423
1,ID1,mase,0.64921826,0.6868291,1.0048915,0.5369765,0.53792965,0.87508506,0.77122617,0.6560234
2,ID10,mase,1.5433236,1.7184434,2.277168,1.8690461,1.3389326,1.856647,2.6769323,0.50213987
3,ID100,mase,0.79348874,0.7251955,0.78756976,0.9714664,0.82098925,0.80444247,1.3404424,1.322672
4,ID101,mase,0.7507266,0.7004158,0.9841766,0.87706846,0.76778513,0.89332837,1.8417528,0.85678566
5,ID102,mase,0.9942473,0.80853015,0.4566781,1.5036674,0.72673154,0.65997106,2.160192,0.59913737
6,ID103,mase,1.3741614,1.2761508,1.1175002,1.5115551,1.4016806,1.290602,1.736203,1.0389642
7,ID104,mase,1.1143563,1.0597066,1.2266859,1.0128645,0.9915752,1.2896385,1.7009879,1.5041574
8,ID105,mase,0.60861826,0.56493443,0.59490913,0.6096521,0.561992,0.53184456,1.3733732,0.49615568
9,ID106,mase,0.48589104,0.4952984,0.5013699,0.49233618,0.4883622,0.50015616,0.82641184,0.49196902
10,ID107,mase,0.56795985,0.5204862,0.48099494,0.5550158,0.5413914,0.54790944,0.6540522,0.9829676
11,ID108,mase,0.89627296,0.6875646,0.475018,0.91684675,0.8906887,0.68375516,1.0438647,0.57120776
12,ID109,mase,0.7268348,0.8163873,1.3324109,0.40519452,0.7724488,0.8861567,0.6340352,0.7931279
13,ID11,mase,0.8022408,0.6968159,0.43985528,0.83125174,0.9530353,0.7024391,0.74860173,1.0710356
14,ID110,mase,0.96063596,0.7510648,0.6655992,1.2135886,0.7965308,0.57335144,1.3619627,0.89296454
15,ID111,mase,0.33300576,0.4166134,0.46016434,0.35708416,0.40621063,0.49447528,0.9894769,0.3119252
16,ID112,mase,1.0473797,1.0204235,1.0599171,1.420093,0.8959794,0.7660243,1.6826448,0.60887223
17,ID113,mase,0.6787929,0.68490636,0.69902915,0.68148094,0.6249817,0.6062072,0.93001133,0.6879804
18,ID114,mase,0.75128824,0.72316915,0.6730519,0.5562374,0.5930363,0.953187,0.6893556,0.60522294
19,ID115,mase,0.9860087,1.4762862,0.9940629,1.2401679,1.6065792,2.133256,3.0189579,0.9737069
20,ID116,mase,0.21237956,0.3210855,0.18673605,0.20033173,0.18709819,0.39940965,1.5998038,0.4190104
21,ID117,mase,0.596282,0.40665382,0.22236705,0.87239057,0.41758284,0.29028863,0.6155175,0.17705764
22,ID118,mase,0.8611079,0.7043603,0.54196495,1.2879748,0.7085471,0.581989,1.4996097,0.756469
23,ID119,mase,0.5707016,0.4816508,0.13702124,1.1410934,0.37163955,0.27851227,1.2148377,0.5553835
24,ID12,mase,0.93378836,0.8142368,0.5831493,0.61718327,0.9503647,0.548476,1.5478117,0.45154724
25,ID120,mase,0.32905763,0.24182491,0.70444614,0.39533484,0.2924468,0.22610457,0.4800201,0.31206876
