,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
0,ID1,mase,0.5102695,0.36283255,0.3048491,0.39796776,1.3309436
1,ID10,mase,1.2484013,1.1824113,1.2235925,1.1559824,2.1313908
2,ID100,mase,0.49953413,0.5146779,0.54938084,0.5028441,0.6221448
3,ID101,mase,0.71198714,0.56527823,0.6148864,0.6604022,0.89518845
4,ID102,mase,0.8211915,1.016954,0.95495397,0.9528157,1.1054027
5,ID103,mase,0.6465978,0.645143,0.6249246,0.6165819,0.7836867
6,ID104,mase,1.062197,0.8035193,1.0797703,0.8416598,1.0984397
7,ID105,mase,1.0218539,0.7681352,1.0583678,0.7286451,0.99127084
8,ID106,mase,0.35378042,0.38175586,0.40848503,0.35368627,0.4424203
9,ID107,mase,0.94707084,1.00544,1.2657917,0.81188536,1.1263956
10,ID109,mase,1.1178018,1.1584802,1.2764897,1.1231492,1.3157855
11,ID11,mase,0.905974,0.86746264,0.9000576,0.9609492,1.0275849
12,ID110,mase,1.4906658,1.1598421,1.4201902,1.5807542,1.0465004
13,ID111,mase,2.633344,2.5943153,2.7035842,2.445814,3.4543633
14,ID112,mase,0.6567302,0.7027322,0.8049654,0.9915252,1.8122567
15,ID113,mase,0.55164593,0.5809666,0.646907,0.8452289,1.6487256
16,ID114,mase,0.79941314,0.7932213,0.721462,0.8760523,2.682198
17,ID115,mase,0.30290276,0.30989626,0.28993228,0.3345455,0.6967881
18,ID116,mase,0.8132112,0.738454,0.80682504,0.96029866,0.56888604
19,ID117,mase,1.3355416,1.178922,1.3330197,1.6581973,1.1275458
20,ID118,mase,0.7958085,0.6620844,0.87319326,0.84691834,3.9492388
21,ID119,mase,0.5379928,0.585333,0.6321646,0.8515659,2.0553684
22,ID12,mase,0.9525654,0.96523714,0.9739434,0.75557226,0.9054125
23,ID120,mase,0.24149546,0.267092,0.27846032,0.31854555,0.32082865
24,ID121,mase,0.4368314,0.47375622,0.3872316,0.54614335,1.612157
25,ID122,mase,0.39268732,0.46216205,0.47369158,0.6209832,0.72865075
26,ID123,mase,0.4368314,0.47375622,0.3872316,0.54614335,1.612157
27,ID124,mase,0.32954478,0.31875446,0.39832413,0.5144395,2.326119
28,ID125,mase,0.80081606,0.8722494,0.8291764,1.0267782,0.9395154
29,ID126,mase,0.38885722,0.27595335,0.26854435,0.30629364,0.69265115
30,ID127,mase,0.6155248,0.5969665,0.65790194,0.812656,0.69674885
31,ID128,mase,0.39478064,0.41632548,0.4277142,0.41846168,1.115829
32,ID129,mase,0.39707103,0.429529,0.43392932,0.4779867,0.47546273
33,ID13,mase,3.7994027,3.3812335,3.4135382,2.8593698,2.4192407
34,ID130,mase,0.47729495,0.48583895,0.5050524,0.59895325,1.0970273
35,ID131,mase,0.7586423,0.88022995,0.9654799,0.8151385,1.8247001
36,ID135,mase,1.2375866,0.7399569,0.72539943,0.7563942,3.0528395
37,ID136,mase,0.77424634,0.87359816,0.7845573,0.85059077,0.9531713
38,ID137,mase,1.665229,1.7916231,1.6971982,2.0972137,0.60115093
39,ID138,mase,0.62501293,0.72237927,0.88419515,0.6917337,1.3264941
40,ID139,mase,0.57520753,0.5740569,0.81428933,0.6982924,0.88450754
41,ID14,mase,2.2355309,2.1626546,2.0827603,2.3404682,3.4552643
42,ID140,mase,2.252359,2.1239002,1.9943751,2.0142014,1.5312324
43,ID141,mase,0.65224725,0.60921735,0.75936407,0.5683809,1.2757688
44,ID142,mase,0.68394715,0.68815094,0.6406171,0.6133061,0.69485575
45,ID143,mase,1.3326856,1.1306189,1.1969234,1.3904055,1.1728123
46,ID144,mase,0.95860434,0.48008817,0.66844094,0.3431369,2.8657637
