,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,0.29696319,0.35316315,0.33470857,0.49306294,0.30490416,0.6159926,1.4801208
1,ID1,mase,1.6122736,0.5903676,0.74212486,0.5129675,1.1997178,0.8710199,0.85665977
2,ID10,mase,0.38368863,0.4272983,0.37529984,0.57145786,0.31623095,0.7253714,1.2756326
3,ID100,mase,1.0611026,0.75432163,0.73183334,1.5996621,0.98155445,2.6891718,0.6960734
4,ID101,mase,3.5215187,2.6734111,2.8275254,2.1154745,3.3576536,3.3388073,0.8454997
5,ID102,mase,0.7751909,0.4390685,0.6066792,0.6072754,0.39635938,0.64879763,0.63033676
6,ID103,mase,1.1915271,0.78561383,0.65154344,0.69547683,0.96274847,0.657328,1.2001619
7,ID104,mase,1.3204606,1.0302304,1.0576311,1.157287,1.2049024,1.2211201,1.176647
8,ID105,mase,2.1048326,1.7196778,1.784833,1.5621352,1.8692445,1.2375671,0.6367137
9,ID106,mase,1.4883201,0.99368286,0.9406068,0.57934403,1.3802621,1.8823931,0.8448366
10,ID107,mase,1.6782106,1.1016058,1.2812687,1.0167782,1.3822888,1.5301769,0.7248718
11,ID108,mase,1.4254148,0.4398793,0.4816265,0.35577357,1.0805049,1.3222295,0.4424585
12,ID109,mase,0.9185365,0.6379893,0.6986076,0.7789996,0.57549965,0.7572358,0.9406371
13,ID11,mase,3.7790654,2.5022383,2.7277386,2.0106819,3.4063234,2.461452,1.1334933
14,ID110,mase,1.1446595,0.82726544,0.89633995,0.7843954,1.0404949,1.1601857,0.49041444
15,ID12,mase,1.5571781,1.004857,1.0568157,0.81732017,1.3442426,1.1454726,0.8756059
16,ID13,mase,1.3578459,0.48583138,0.4986468,0.49981797,0.9956019,1.1933302,0.94726175
17,ID14,mase,1.1221635,0.4928685,0.4872731,0.50182086,0.8271188,1.0535237,1.3461528
18,ID15,mase,1.2392551,0.6234637,0.63682127,0.6426028,0.82167196,1.3000852,1.7632056
19,ID16,mase,4.6284375,3.255944,3.4798877,2.9850643,4.132173,3.6635008,0.9254111
20,ID17,mase,2.4143643,1.5322945,1.6961722,0.90657896,2.2341766,1.8045902,1.0931104
21,ID18,mase,1.3326137,0.82052135,0.8725802,0.77785915,1.1692133,1.2543598,0.9316978
22,ID19,mase,2.1017106,0.6469062,0.82835424,0.5631755,1.5575821,1.5217326,0.822106
23,ID2,mase,0.59329844,0.36594135,0.39370483,0.45509106,0.44829878,0.6195863,1.379857
24,ID20,mase,1.8254166,1.334737,1.2757305,1.4091852,1.5430808,1.3244672,1.9112674
25,ID21,mase,1.2679611,0.47673988,0.6068944,0.5014526,0.94610566,0.89077437,0.94997334
26,ID22,mase,1.1451253,0.64233404,0.6696914,0.5488352,0.9731148,0.8975533,1.0707246
27,ID23,mase,2.962292,2.208226,2.2706258,1.4498532,2.809661,2.5976806,0.7069766
28,ID24,mase,0.687297,1.1070256,1.0684961,1.628151,0.72987556,1.1367795,2.2503514
29,ID25,mase,0.21030565,0.1285608,0.12599392,0.10979672,0.13772997,0.19949862,0.41276246
30,ID26,mase,0.93416846,0.824911,0.81160665,0.7174349,0.88250875,0.85452074,0.6217622
31,ID27,mase,1.4619745,0.62758285,0.72387505,0.59316385,1.1771466,1.1148031,0.41522777
32,ID28,mase,1.150932,0.7249347,0.70353615,0.860708,0.90919363,1.0593114,1.6253959
33,ID29,mase,0.5611298,0.5200066,0.57042086,0.42011377,0.5736698,0.31930593,0.9069904
34,ID3,mase,0.84689605,0.5550731,0.62936616,0.52724624,0.69831014,0.90182775,0.7753314
35,ID30,mase,1.0360094,0.46847633,0.54918116,0.4220128,0.77043366,1.171696,0.4570377
36,ID31,mase,0.7260603,0.40022117,0.45752168,0.3939044,0.6012246,0.58311564,0.5327824
37,ID32,mase,1.1510675,0.8081945,0.8926013,0.71807885,1.000289,1.0978692,0.7305889
38,ID33,mase,1.0915954,1.661125,1.6113038,2.2286813,0.9018101,1.1002783,2.0401585
39,ID34,mase,2.194384,1.0542576,1.2975968,0.6851917,1.9288335,1.7529485,0.8056339
40,ID35,mase,2.2533665,1.5606017,1.7363675,1.4101058,2.0183449,1.4621767,0.75840175
41,ID36,mase,3.4461834,2.4712682,2.3039966,1.4053404,2.552697,1.8246815,1.2619466
42,ID37,mase,0.47469488,0.61228335,0.65872854,1.2162702,0.56912684,1.2188611,0.67608553
43,ID38,mase,1.0041478,0.6713325,0.6868052,0.6629072,0.8048029,0.93325657,0.90599734
44,ID39,mase,1.2157168,0.35405445,0.4459884,0.32178143,0.93200076,0.7387906,1.2229875
45,ID4,mase,0.49058798,0.3868041,0.2984218,0.5483446,0.3487004,0.64740425,1.1389445
46,ID40,mase,1.3635144,1.1240169,1.1902698,1.1447847,1.2583722,1.1115102,1.2427973
47,ID41,mase,1.6916277,1.0870484,1.1940254,1.0714517,1.4763578,1.1698023,0.7129279
48,ID42,mase,1.3785138,0.7124556,0.76602393,0.6858175,1.1424844,1.3762485,0.6489509
49,ID43,mase,0.9647663,0.5036974,0.50215906,0.82698303,0.8060927,0.9761399,1.1268746
50,ID44,mase,1.8215234,1.394868,1.5035115,1.428045,1.7017089,1.902812,1.2698116
51,ID45,mase,1.2223113,0.6225294,0.65735865,0.5986532,1.0110121,1.3000939,1.4680471
52,ID46,mase,0.29696319,0.35316315,0.33470857,0.49306294,0.30490416,0.6159926,1.4801208
53,ID47,mase,0.69273025,0.58293474,0.5596717,0.5890541,0.5538111,0.57444435,1.559999
54,ID48,mase,1.425889,1.0744754,1.072061,0.69820225,1.306001,0.9794811,0.82612664
