,unique_id,metric,Original,Online,Offline,OfflineMax,SeasonalNaive
0,ID0,mase,0.31012368,0.49047047,0.2503843,0.2522624,1.4801208
1,ID1,mase,1.5201998,1.5045031,0.8997797,1.2209477,0.85665977
2,ID10,mase,0.63984007,0.9426324,0.7499149,0.5620394,1.2756326
3,ID100,mase,1.0930399,2.1481595,1.7962356,1.2602662,0.6960734
4,ID101,mase,5.082917,4.9752007,5.0667152,5.0799704,0.8454997
5,ID102,mase,0.66327775,0.7102444,0.46394998,0.42533904,0.63033676
6,ID103,mase,1.2367965,1.034309,0.9328383,0.96645224,1.2001619
7,ID104,mase,1.2211591,1.0225557,1.5125271,0.82375634,1.176647
8,ID105,mase,2.1379893,1.9935384,1.9802598,1.2992945,0.6367137
9,ID106,mase,1.2675627,1.1219344,1.9484913,1.165621,0.8448366
10,ID107,mase,1.6366167,1.7258873,1.8893888,1.6464301,0.7248718
11,ID108,mase,1.0041234,0.9922134,1.8339318,0.7590946,0.4424585
12,ID109,mase,0.5592115,0.6449712,0.6189641,0.70792884,0.9406371
13,ID11,mase,3.2787464,3.0900028,3.7768981,3.0281718,1.1334933
14,ID110,mase,1.0547131,1.311757,0.90464276,1.168642,0.49041444
15,ID12,mase,1.6735908,1.4358081,1.8664031,1.0267552,0.8756059
16,ID13,mase,1.3634849,1.222137,2.1331625,1.687374,0.94726175
17,ID14,mase,1.0029732,0.97582996,1.1891141,0.940269,1.3461528
18,ID15,mase,1.8913591,1.4621265,1.8773638,1.1427559,1.7632056
19,ID16,mase,3.1274035,3.46751,4.462076,3.654287,0.9254111
20,ID17,mase,2.2651513,2.51951,2.9945161,1.9913956,1.0931104
21,ID18,mase,1.3085803,1.2501714,1.105538,0.8613516,0.9316978
22,ID19,mase,1.8772571,2.2266037,2.6711226,1.2856895,0.822106
23,ID2,mase,0.4648814,0.4762414,0.6435327,0.70449346,1.379857
24,ID20,mase,2.137687,1.6849377,1.7231416,1.9329236,1.9112674
25,ID21,mase,1.5306718,1.6387066,1.5112119,1.5269123,0.94997334
26,ID22,mase,1.0279039,1.0733947,1.2760344,0.78097963,1.0707246
27,ID23,mase,2.7383065,2.5826607,3.9878125,2.3263845,0.7069766
28,ID24,mase,1.1771837,1.0273986,0.9019192,1.4678093,2.2503514
29,ID25,mase,0.32479078,0.23765199,0.2866174,0.29403588,0.41276246
30,ID26,mase,0.74566686,0.87853193,0.74837565,0.8469559,0.6217622
31,ID27,mase,1.9075739,1.709332,1.7052513,1.5171378,0.41522777
32,ID28,mase,0.93750435,0.95170075,1.0396662,0.95342743,1.6253959
33,ID29,mase,0.5151872,0.4485127,0.39831182,0.37434897,0.9069904
34,ID3,mase,0.7216437,0.7530979,0.7394798,0.8126021,0.7753314
35,ID30,mase,0.6693848,1.0217558,0.4217787,0.8513648,0.4570377
36,ID31,mase,0.6150673,0.84207696,0.52797073,0.67565453,0.5327824
37,ID32,mase,1.5116973,1.5255138,1.7106005,1.14653,0.7305889
38,ID33,mase,1.0276198,1.3564584,0.61796,1.39526,2.0401585
39,ID34,mase,2.6332538,2.3886194,3.479532,2.5936074,0.8056339
40,ID35,mase,2.4932625,2.2943158,2.438954,2.364525,0.75840175
41,ID36,mase,1.5439705,1.6399597,1.5353433,1.7380491,1.2619466
42,ID37,mase,0.76937664,0.93595594,1.1234169,0.8887302,0.67608553
43,ID38,mase,0.7717411,0.9926289,1.0395498,0.9863855,0.90599734
44,ID39,mase,1.1806886,0.7410353,1.2654861,0.6596405,1.2229875
45,ID4,mase,0.92235065,0.6938523,0.7489551,0.79161483,1.1389445
46,ID40,mase,1.1900136,1.4382045,1.4264417,1.1588961,1.2427973
47,ID41,mase,1.5765729,1.6692878,1.6524562,1.40625,0.7129279
48,ID42,mase,1.5388,1.5649651,1.4941471,1.0750712,0.6489509
49,ID43,mase,1.3487393,0.95516986,1.0157267,0.64109445,1.1268746
50,ID44,mase,1.639835,1.8754996,2.102537,1.8027309,1.2698116
51,ID45,mase,1.4931242,1.6992078,1.4598662,1.0631392,1.4680471
52,ID46,mase,0.31012368,0.49047047,0.2503843,0.2522624,1.4801208
53,ID47,mase,0.75691545,0.38985047,0.9283337,0.97355133,1.559999
54,ID48,mase,0.99169755,1.3426038,1.0831958,1.292676,0.82612664
55,ID49,mase,0.63984007,0.9426324,0.7499149,0.5620394,1.2756326
56,ID5,mase,2.2612092,2.3949225,2.367909,2.84348,1.6203152
57,ID50,mase,0.833353,1.0809535,0.80579096,1.0691218,0.960221
58,ID51,mase,0.74914265,0.62747985,0.72073174,0.7762418,1.0560918
59,ID52,mase,0.71600246,1.24033,0.6093821,0.45547056,0.70026475
60,ID53,mase,1.1294856,1.1691192,1.2985497,1.0706371,1.1258266
61,ID54,mase,0.6231074,0.53156716,0.5515585,0.5111024,1.2726374
62,ID55,mase,1.8899008,1.36055,2.355823,1.4773822,1.1357759
63,ID56,mase,1.449886,1.7940532,1.9291575,2.053067,1.9651864
64,ID57,mase,2.5209997,1.6816213,2.1899912,2.037593,1.0009435
65,ID58,mase,2.463621,2.847322,3.0622225,2.997913,1.2430122
66,ID59,mase,0.76564157,1.1565995,0.6736923,0.99352854,1.2644271
67,ID6,mase,2.2923038,2.040441,2.3611493,2.3986816,1.2265803
68,ID60,mase,2.98492,2.921752,3.4040012,3.0501866,0.96766144
69,ID61,mase,1.2972429,1.2701384,0.9010339,1.2656362,0.6388876
70,ID62,mase,1.5871748,1.6476876,1.2311983,1.1100961,0.77237785
71,ID63,mase,0.66631573,0.81599647,1.168975,0.9042829,0.8613454
72,ID64,mase,0.91866624,0.7850816,0.7775279,0.8375459,1.0846341
73,ID65,mase,0.7290861,1.3696531,0.9769611,0.97481495,0.96812326
74,ID66,mase,1.4197499,1.649661,1.6480011,2.1835458,0.6657304
75,ID67,mase,0.8335353,0.49966,0.65924436,0.8256518,1.4807898
76,ID68,mase,2.0750885,2.881069,2.6698542,1.8626716,0.82409155
77,ID69,mase,1.867388,1.9588345,1.9739265,1.1193287,1.2106767
78,ID7,mase,1.5613136,1.7364635,1.7722622,1.5222011,1.3399757
79,ID70,mase,1.9663649,2.491271,1.627312,2.179832,1.2094755
80,ID71,mase,2.224413,2.3554626,1.5648735,3.187126,1.2552725
