,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,0.34283775,0.31538382,0.39032185,0.34262553,0.341802,0.29748654,0.65483314,1.4801208
1,ID1,mase,1.3853025,0.9521656,1.1357447,1.3795593,1.587181,1.2374098,0.74221975,0.85665977
2,ID10,mase,0.34214184,0.27381805,0.27893645,0.3186618,0.3743083,0.2781457,0.5757336,1.2756326
3,ID100,mase,1.1402911,0.8079872,0.9000852,1.1962992,1.0191772,1.165691,1.9116265,0.6960734
4,ID101,mase,3.379867,4.371365,3.2411134,3.7654753,3.98365,3.174121,0.7213893,0.8454997
5,ID102,mase,0.80512756,0.4596264,0.38677764,0.54309076,0.66947985,0.4864677,1.5231915,0.63033676
6,ID103,mase,1.1181146,0.78474927,0.7462441,0.95477295,0.97596884,0.7702966,0.71495867,1.2001619
7,ID104,mase,1.2682141,1.1031256,1.1616368,1.3385375,1.2186595,1.1663635,1.0757234,1.176647
8,ID105,mase,1.8754143,1.4219351,1.4127109,1.7047138,1.9124644,1.606644,0.49239936,0.6367137
9,ID106,mase,1.4953687,1.7245005,1.1855339,1.5660468,2.019547,1.4149728,0.9061441,0.8448366
10,ID107,mase,1.681991,1.2298746,1.3892742,1.2773472,1.2504604,1.5494784,1.4334062,0.7248718
11,ID108,mase,1.3481872,1.0820256,0.96644485,1.2838233,1.2410024,1.2158988,0.48554844,0.4424585
12,ID109,mase,0.97503245,0.72892827,0.5011521,0.6631484,0.97005504,0.57783633,1.3424615,0.9406371
13,ID11,mase,3.2123382,3.1809769,2.8965452,3.1764035,3.408856,3.1152518,1.6320952,1.1334933
14,ID110,mase,1.1609801,1.0336382,0.9558316,1.0279317,1.0350395,1.0100831,0.7002158,0.49041444
15,ID12,mase,1.5043249,1.0960683,1.1763241,1.1679965,1.3921514,1.3545967,0.6139325,0.8756059
16,ID13,mase,1.0338696,0.9965028,0.74823976,0.8896968,0.8626167,1.0715977,0.6911669,0.94726175
17,ID14,mase,0.93938625,0.7783864,0.6762952,0.8480444,0.8468997,0.7822378,0.7295034,1.3461528
18,ID15,mase,1.0655531,0.858705,0.8472309,1.0903178,0.92300266,0.92142206,0.93435293,1.7632056
19,ID16,mase,4.134434,3.8739781,3.595497,4.134749,4.528044,4.0111794,1.59968,0.9254111
20,ID17,mase,2.3904629,2.2212336,2.201214,2.6922114,2.282907,2.3006492,1.3597399,1.0931104
21,ID18,mase,1.15888,0.94293934,0.9814705,1.053734,1.1983508,1.1949035,0.7425984,0.9316978
22,ID19,mase,2.0247211,1.750126,1.4814502,1.9286009,1.7056962,1.9598657,0.8396277,0.822106
23,ID2,mase,0.5162468,0.35651216,0.35698706,0.45662367,0.44094628,0.39988348,0.74848914,1.379857
24,ID20,mase,1.6935117,1.4627596,1.5426532,1.6576654,1.6190615,1.7103384,1.4330405,1.9112674
25,ID21,mase,1.0825047,1.0078104,0.95057136,1.2391121,0.88895303,1.147666,0.65896964,0.94997334
26,ID22,mase,1.0177814,0.9444893,0.89676756,0.9576887,0.99543923,0.8833635,0.47297564,1.0707246
