,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.42757434,0.27244836,0.3227877,0.2692895,0.31184798,0.27123538,0.97094065,1.3309436
1,ID10,mase,1.0919336,1.266894,1.2401437,1.2141596,1.2290419,1.3038355,2.0265176,2.1313908
2,ID100,mase,0.44803616,0.55665183,0.55392253,0.55281776,0.59613734,0.598465,0.49138373,0.6221448
3,ID101,mase,0.65930414,0.6004687,0.5396544,0.6735067,0.52263033,0.56408757,1.2131494,0.89518845
4,ID102,mase,0.7837487,0.88887495,0.97341985,1.0933849,0.97096944,0.9664305,1.2566,1.1054027
5,ID103,mase,0.52658635,0.52668935,0.493435,0.5857723,0.56130177,0.61405975,0.88880694,0.7836867
6,ID104,mase,0.82805866,0.8127105,0.7479897,0.9769199,0.78346264,0.80027616,1.2376544,1.0984397
7,ID105,mase,0.7381128,0.7765367,0.6996118,0.9154061,0.71896213,0.7478753,1.115697,0.99127084
8,ID106,mase,0.4294584,0.34846544,0.35027054,0.31344622,0.36617813,0.37707525,0.47605136,0.4424203
9,ID107,mase,0.9371446,0.8474893,0.819371,0.9138572,0.94763684,0.83927256,1.0795141,1.1263956
10,ID109,mase,1.1128205,1.0623724,1.0952729,1.1571529,1.1258084,1.171062,1.0934165,1.3157855
11,ID11,mase,0.81701195,0.7922965,0.7756378,0.7878767,0.8632879,0.78730863,0.8010993,1.0275849
12,ID110,mase,1.3234278,0.9606738,1.1183109,1.0937217,1.1021489,1.1565436,0.33859065,1.0465004
13,ID111,mase,2.498518,2.5590177,2.368634,2.2610617,2.360565,2.3938925,3.2842784,3.4543633
14,ID112,mase,0.92169553,0.6753258,0.73515886,0.57807446,0.75385946,0.668594,0.9122577,1.8122567
15,ID113,mase,0.76152635,0.56965977,0.61449844,0.5077118,0.65372616,0.557557,0.78391755,1.6487256
16,ID114,mase,0.7790066,0.8006754,0.7801296,0.69773555,0.81259567,0.77397907,1.7102519,2.682198
17,ID115,mase,0.31600544,0.28114676,0.29208592,0.30977547,0.26887563,0.27173498,0.30087724,0.6967881
18,ID116,mase,0.7738713,0.909406,0.9713492,0.8398418,0.84283155,0.9908106,0.75410825,0.56888604
19,ID117,mase,1.3454264,1.3401332,1.4196433,1.1815758,1.3913283,1.3737535,0.8472262,1.1275458
20,ID118,mase,0.62648743,0.6350484,0.608577,0.5432451,0.68915194,0.52656233,2.006752,3.9492388
21,ID119,mase,0.7381327,0.5919001,0.6464965,0.46261513,0.6544359,0.557997,1.0433035,2.0553684
22,ID12,mase,0.7233368,0.8897849,0.8890472,0.97500485,0.8778028,0.8475405,0.88057166,0.9054125
23,ID120,mase,0.27425247,0.31509724,0.3116354,0.26881447,0.30840415,0.31873247,0.41121036,0.32082865
24,ID121,mase,0.40725407,0.34672907,0.33380708,0.2588809,0.39860895,0.32533246,0.801486,1.612157
25,ID122,mase,0.6249254,0.5217173,0.54526365,0.637289,0.5433299,0.5656989,0.74572664,0.72865075
26,ID123,mase,0.40725407,0.34672907,0.33380708,0.2588809,0.39860895,0.32533246,0.801486,1.612157
27,ID124,mase,0.34016234,0.38232496,0.3610809,0.37995476,0.3385915,0.38011068,1.4433532,2.326119
28,ID125,mase,0.81746626,0.9927668,1.072954,0.93963903,1.0023838,0.9348804,0.77090776,0.9395154
29,ID126,mase,0.76618683,0.41112256,0.44235352,0.47039267,0.4561913,0.61269367,0.49234313,0.69265115
30,ID127,mase,0.64460474,0.7176246,0.7161087,0.61777526,0.64683026,0.7179384,0.69895595,0.69674885
31,ID128,mase,0.3611349,0.35646155,0.3672802,0.31733176,0.40564862,0.3859571,0.6755912,1.115829
32,ID129,mase,0.39561144,0.36070973,0.3390134,0.35443625,0.36760092,0.36132294,0.40323883,0.47546273
33,ID13,mase,3.3334532,3.4069011,3.3601952,3.344405,3.2411358,3.3761673,3.0971313,2.4192407
34,ID130,mase,0.52039874,0.37685174,0.42895907,0.49544552,0.45368433,0.46805748,0.6196996,1.0970273
35,ID131,mase,0.64266336,0.7509927,0.6718889,0.79341,0.691917,0.680021,1.712551,1.8247001
36,ID135,mase,2.050986,1.4801753,1.4570063,1.4618876,2.0161161,1.1683476,2.0847764,3.0528395
37,ID136,mase,0.67530966,0.74229056,0.76336193,0.7688939,0.7912927,0.7561866,0.81615317,0.9531713
38,ID137,mase,1.6048768,1.5089363,1.6664408,1.6538548,1.7733079,1.687985,1.1635977,0.60115093
39,ID138,mase,0.88629353,0.7136322,0.68134737,0.5257973,0.6206884,0.6463395,1.1785043,1.3264941
40,ID139,mase,0.53871554,0.75157464,0.7580341,0.7664103,0.67072517,0.63904095,0.575654,0.88450754
