,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.42757434,0.32354215,0.3628946,0.38236895,0.34303853,0.40274405,0.27771002,1.3309436
1,ID10,mase,1.0919336,1.3279126,1.0879486,0.95213187,1.3302712,1.3585683,2.0486054,2.1313908
2,ID100,mase,0.44803616,0.4392919,0.43238482,0.36631116,0.5301715,0.5544932,0.5411961,0.6221448
3,ID101,mase,0.65930414,1.1068201,0.5489924,1.1557509,2.419233,2.6251395,1.1434227,0.89518845
4,ID102,mase,0.7837487,1.1619897,0.93869394,0.97034585,1.6370727,1.5064684,1.1304898,1.1054027
5,ID103,mase,0.52658635,0.44226563,0.5616568,0.51590675,0.5504097,0.5111826,0.74703413,0.7836867
6,ID104,mase,0.82805866,0.72701705,0.74708897,0.7785697,0.7508194,0.77156055,1.2094015,1.0984397
7,ID105,mase,0.7381128,0.67000484,0.69908977,0.6986984,0.66481805,0.6683673,1.1051711,0.99127084
8,ID106,mase,0.4294584,0.31915256,0.3593861,0.35186377,0.38678142,0.37972853,0.5071802,0.4424203
9,ID107,mase,0.9371446,1.0279138,0.8870362,1.2268883,1.1492012,1.1659956,1.035928,1.1263956
10,ID109,mase,1.1128205,1.1560494,1.1005807,1.1916567,1.1539912,1.1390026,1.0571417,1.3157855
11,ID11,mase,0.81701195,0.885219,0.8800608,0.8924564,0.73716897,0.7686739,0.83780897,1.0275849
12,ID110,mase,1.3234278,1.0995998,0.99648464,1.3640987,1.213766,1.4017458,0.43161476,1.0465004
13,ID111,mase,2.498518,2.462127,2.466461,2.2866967,2.3446374,2.6284168,3.1132686,3.4543633
14,ID112,mase,0.92169553,0.5819478,0.583316,0.57022333,0.6580039,0.6776437,0.9492135,1.8122567
15,ID113,mase,0.76152635,0.4635546,0.4442712,0.4247624,0.49930158,0.5262228,0.82533413,1.6487256
16,ID114,mase,0.7790066,0.78815526,0.7314489,0.81595033,0.78008157,0.78507495,1.0008113,2.682198
17,ID115,mase,0.31600544,0.2632861,0.2724941,0.28445786,0.26937973,0.26503417,0.2891861,0.6967881
18,ID116,mase,0.7738713,0.75295645,0.77419895,0.75204813,0.8295032,0.83662087,0.7341142,0.56888604
19,ID117,mase,1.3454264,1.139231,1.1917005,1.329671,1.3293871,1.3776432,0.9281947,1.1275458
20,ID118,mase,0.62648743,0.5973912,0.5814418,0.4581864,0.44566923,0.5411586,2.0379975,3.9492388
21,ID119,mase,0.7381327,0.5259554,0.4495285,0.47492257,0.543396,0.58656913,1.1271367,2.0553684
22,ID12,mase,0.7233368,1.0905259,0.9206009,0.9567457,1.2474089,0.99575233,0.86097187,0.9054125
23,ID120,mase,0.27425247,0.28153136,0.2319601,0.21927533,0.28001425,0.253015,0.43027905,0.32082865
24,ID121,mase,0.40725407,0.31255722,0.31446737,0.30967766,0.27252325,0.2910488,0.96071213,1.612157
25,ID122,mase,0.6249254,0.43765727,0.5426198,0.5534535,0.443588,0.4312441,0.76997817,0.72865075
26,ID123,mase,0.40725407,0.31255722,0.31446737,0.30967766,0.27252325,0.2910488,0.96071213,1.612157
27,ID124,mase,0.34016234,0.4345783,0.37984496,0.3130675,0.38669956,0.4064236,1.3383439,2.326119
28,ID125,mase,0.81746626,0.7758712,0.82339454,1.0230738,0.9159885,0.754204,0.8297327,0.9395154
29,ID126,mase,0.76618683,0.3906855,0.46387807,0.63012296,0.38163215,0.3499727,0.5623862,0.69265115
30,ID127,mase,0.64460474,0.44151327,0.5543172,0.46048158,0.3953753,0.38631463,0.77146095,0.69674885
31,ID128,mase,0.3611349,0.2973077,0.2589718,0.32411328,0.3351698,0.30912468,0.7696268,1.115829
32,ID129,mase,0.39561144,0.3355802,0.34075218,0.36382085,0.3200841,0.2819411,0.3598434,0.47546273
33,ID13,mase,3.3334532,3.7106218,3.617056,3.9738863,4.260901,4.137924,3.0328417,2.4192407
34,ID130,mase,0.52039874,0.40581596,0.42560965,0.29305077,0.3034672,0.41118714,0.5255903,1.0970273
35,ID131,mase,0.64266336,0.82262945,0.7547546,0.5880972,0.6114622,0.6997972,1.6278759,1.8247001
36,ID135,mase,2.050986,1.0201901,1.6278032,1.1089975,1.1554472,1.1300713,1.8142365,3.0528395
37,ID136,mase,0.67530966,1.1249428,0.9868741,1.2200084,1.3316327,1.5210369,0.9679398,0.9531713
38,ID137,mase,1.6048768,1.2669585,1.5346652,1.5226601,1.0962052,0.9516158,1.1394199,0.60115093
39,ID138,mase,0.88629353,0.63157314,0.665819,0.62190855,0.57784426,0.57802415,1.365151,1.3264941
40,ID139,mase,0.53871554,0.6370199,0.52018195,0.55712,0.8658157,0.74429333,0.6008408,0.88450754
41,ID14,mase,2.5584657,1.9866515,2.063001,2.3632648,1.920075,2.0436249,1.5710279,3.4552643
42,ID140,mase,2.3371768,1.7705549,1.9526271,1.9517714,1.6614336,1.6020278,1.6277124,1.5312324
43,ID141,mase,0.7534679,0.66401017,0.71037936,0.5806895,0.5711309,0.5678461,1.1394603,1.2757688
44,ID142,mase,0.5262722,0.570282,0.60361594,0.55890954,0.5625309,0.7088032,0.83345187,0.69485575
45,ID143,mase,1.5686675,0.82629454,0.9926232,1.1335588,0.6795809,0.71693265,0.38093182,1.1728123
46,ID144,mase,1.725686,1.2819338,1.2626426,0.9958759,1.3152474,1.1680808,1.5153404,2.8657637
47,ID145,mase,1.4305634,1.4766374,1.5281025,1.5628741,1.5684986,1.5310768,1.3229648,1.3393744
48,ID146,mase,0.99597496,1.3888977,1.2111701,1.5179582,1.5317342,1.3531224,0.8836097,1.3084279
49,ID148,mase,0.5426733,0.6066272,0.6100055,0.60629624,0.5614903,0.53417057,1.2396361,1.3203704
50,ID149,mase,1.060126,0.9529111,0.9897033,0.84474474,0.7906015,0.7466148,1.165244,1.5996094
51,ID15,mase,0.45221692,0.32058725,0.36273596,0.42383444,0.40894505,0.38914976,0.44150174,0.6028308
52,ID150,mase,0.9192075,0.7286855,0.80418926,0.7985904,0.72423357,0.69172263,0.55515724,0.83690864
53,ID151,mase,1.6281861,1.5170935,1.5226194,1.7363468,1.6431521,1.8633101,1.5709541,1.1294643
54,ID152,mase,0.58047575,0.6731875,0.64428973,0.48857486,0.54360574,0.56518906,1.3001395,0.8533367
55,ID153,mase,0.70457065,0.737593,0.73526615,0.67471,0.61617184,0.6527737,0.6050761,0.9006949
56,ID154,mase,0.18637417,0.40688995,0.34071034,0.25382447,0.39779347,0.38350046,0.36980745,1.3824303
57,ID155,mase,0.15074949,0.19456366,0.19452494,0.17243154,0.16235873,0.16873674,0.39530534,0.46743193
58,ID156,mase,0.6549342,1.0966011,0.9609073,0.93535393,1.0928028,1.1505116,1.0691719,1.9656224
59,ID157,mase,0.8197339,0.6524476,0.73523575,0.62688786,0.49386615,0.40721977,0.61821574,1.4077095
60,ID158,mase,0.43276864,0.43400973,0.42620885,0.4312474,0.33881176,0.3674821,0.7363525,1.3308413
61,ID159,mase,1.1028489,1.035948,1.0475972,1.0381554,1.0230359,0.9753453,0.6766445,0.52017
62,ID16,mase,0.71938473,0.86219186,0.7908434,0.69301116,0.96669215,0.9990936,1.019276,0.8226528
63,ID160,mase,1.2220931,1.6431565,1.3602878,1.2567687,1.8071135,1.8928983,1.6339257,1.7099007
