,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.42757434,0.31934068,0.36310938,0.39114937,0.25618494,0.18254127,0.22440188,1.3309436
1,ID10,mase,1.0919336,1.2893664,1.2901007,1.146863,1.4598014,1.5202385,2.0699186,2.1313908
2,ID100,mase,0.44803616,0.5335947,0.5387839,0.5315752,0.5276478,0.548051,0.5507888,0.6221448
3,ID101,mase,0.65930414,0.599202,0.5639172,0.5850971,0.6372581,0.57887816,1.1662422,0.89518845
4,ID102,mase,0.7837487,1.0684745,1.0081195,1.000856,1.0383556,0.8973273,1.0994505,1.1054027
5,ID103,mase,0.52658635,0.55294156,0.54197425,0.5998882,0.51771617,0.6374117,0.7537358,0.7836867
6,ID104,mase,0.82805866,0.918988,0.9661002,0.8226118,0.9055743,0.9015066,1.2361718,1.0984397
7,ID105,mase,0.7381128,0.86463594,0.90831363,0.7807566,0.8181122,0.8203423,1.1312788,0.99127084
8,ID106,mase,0.4294584,0.33001247,0.36173075,0.31106395,0.33272904,0.337689,0.5174676,0.4424203
9,ID107,mase,0.9371446,0.9294226,0.96316147,0.9628845,0.85060793,0.84823567,1.041272,1.1263956
10,ID109,mase,1.1128205,0.9893672,0.9916731,1.093665,0.9747308,1.0736754,1.0354178,1.3157855
11,ID11,mase,0.81701195,0.8104894,0.8411622,0.8519383,0.85554355,0.86309737,0.8363045,1.0275849
12,ID110,mase,1.3234278,1.0025904,1.111538,1.2276934,1.1032629,0.97629535,0.3329416,1.0465004
13,ID111,mase,2.498518,2.5809455,2.6254547,2.6098871,2.8912356,2.7962017,3.0645893,3.4543633
14,ID112,mase,0.92169553,0.6365887,0.62845206,0.6617232,0.6039208,0.6436866,1.158025,1.8122567
15,ID113,mase,0.76152635,0.5155189,0.514177,0.53338224,0.48087072,0.512631,1.0095239,1.6487256
16,ID114,mase,0.7790066,0.84807116,0.83417267,0.84171134,0.79461163,0.8217347,1.2133791,2.682198
17,ID115,mase,0.31600544,0.2723484,0.2822895,0.27468112,0.21703349,0.23124513,0.28406894,0.6967881
18,ID116,mase,0.7738713,0.69173217,0.72371525,0.63714856,0.750989,0.70882696,0.7515782,0.56888604
19,ID117,mase,1.3454264,1.0787834,1.0745162,1.1058937,1.2032695,1.0078845,0.95372313,1.1275458
20,ID118,mase,0.62648743,0.6809814,0.6110545,0.5643535,0.6774504,0.99067754,2.2246697,3.9492388
21,ID119,mase,0.7381327,0.56871116,0.57944274,0.56899387,0.5405351,0.57524157,1.3628844,2.0553684
22,ID12,mase,0.7233368,0.9168222,0.87506753,0.7810861,0.79544467,0.8315358,0.98337525,0.9054125
23,ID120,mase,0.27425247,0.25235164,0.25836986,0.26459274,0.28922585,0.27555183,0.4365032,0.32082865
24,ID121,mase,0.40725407,0.40295607,0.3736265,0.4165985,0.44286072,0.60586745,1.0471693,1.612157
25,ID122,mase,0.6249254,0.42677584,0.4673291,0.42823693,0.46702272,0.5079528,0.7670999,0.72865075
