,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.43692392,0.3314243,0.24697156,0.36505005,0.33531362,0.34369093,0.25193793,1.3309436
1,ID10,mase,1.4990089,1.2254491,1.2292863,1.1872319,1.286478,1.280083,1.9973978,2.1313908
2,ID100,mase,0.56997365,0.56387043,0.5718982,0.51283145,0.50939137,0.5879711,0.53815764,0.6221448
3,ID101,mase,0.47568837,0.5014601,0.5967047,0.5542979,0.5988182,0.54351383,1.1395457,0.89518845
4,ID102,mase,0.9482866,0.94262713,1.0227749,0.78847325,0.8461626,1.1122751,1.1321495,1.1054027
5,ID103,mase,0.5831941,0.6008723,0.52904737,0.66538763,0.46462226,0.52134204,0.75978464,0.7836867
6,ID104,mase,1.071724,0.88089484,0.8792185,0.8645976,0.70708764,0.7366931,1.2358791,1.0984397
7,ID105,mase,1.0337839,0.8342121,0.812203,0.7861652,0.599843,0.70464206,1.1117009,0.99127084
8,ID106,mase,0.34280026,0.35579318,0.37063122,0.3723812,0.37421915,0.3496753,0.5212116,0.4424203
9,ID107,mase,1.3627051,0.95831954,1.0085481,1.1121892,1.0339905,0.902391,1.0535501,1.1263956
10,ID109,mase,1.4326341,1.3009448,1.2823157,1.3722538,1.4323282,1.117745,1.0448607,1.3157855
11,ID11,mase,0.9261775,0.99137974,0.91183925,0.8552961,0.89160717,0.893656,0.8273126,1.0275849
12,ID110,mase,1.4422824,1.2381642,1.1014969,1.336128,1.3610892,1.3795843,0.42876777,1.0465004
13,ID111,mase,2.7872307,2.5990012,2.727922,2.7402055,2.682168,2.6126049,3.2402542,3.4543633
14,ID112,mase,0.7295032,0.678366,0.63811034,0.8116471,0.82040924,0.71233165,0.9399979,1.8122567
15,ID113,mase,0.58486277,0.5294224,0.5012522,0.6494929,0.6792251,0.592932,0.7647794,1.6487256
16,ID114,mase,0.77650344,0.7843621,0.74461865,0.8065832,0.7971401,0.78069425,1.0271361,2.682198
17,ID115,mase,0.2813027,0.27163664,0.26520586,0.2684932,0.292784,0.30203187,0.30178276,0.6967881
18,ID116,mase,0.6872466,0.69109035,0.7139271,0.6917165,0.8248652,0.8613389,0.73373437,0.56888604
19,ID117,mase,1.104498,1.0976012,1.0048965,1.1109369,1.1105784,1.1022681,0.95970726,1.1275458
20,ID118,mase,0.69772243,0.5905614,0.5012204,0.7509442,0.8111804,0.67700726,1.8131145,3.9492388
21,ID119,mase,0.61740243,0.54090416,0.4977411,0.6874206,0.7068488,0.5821882,1.1064974,2.0553684
22,ID12,mase,1.0117819,0.9085793,0.9746983,0.8355624,0.9623489,0.8285147,0.87075806,0.9054125
23,ID120,mase,0.24446478,0.23419511,0.22728461,0.24071763,0.19471702,0.30521095,0.4174848,0.32082865
24,ID121,mase,0.43944296,0.4089784,0.401332,0.48028195,0.48935238,0.45085844,0.94798076,1.612157
25,ID122,mase,0.46189052,0.41837448,0.4067014,0.40543082,0.46227473,0.4998361,0.7557204,0.72865075
26,ID123,mase,0.43944296,0.4089784,0.401332,0.48028195,0.48935238,0.45085844,0.94798076,1.612157
27,ID124,mase,0.37363878,0.29043868,0.3425833,0.35966346,0.4012824,0.42030174,1.179999,2.326119
28,ID125,mase,0.7087491,0.7423522,0.7285086,0.83056897,0.92292225,0.835704,0.80278313,0.9395154
29,ID126,mase,0.32740718,0.28459367,0.28192425,0.33373594,0.33153614,0.44820827,0.54394096,0.69265115
30,ID127,mase,0.4885353,0.5995387,0.5955336,0.5994682,0.6635122,0.68312985,0.7885639,0.69674885
31,ID128,mase,0.43848282,0.45173883,0.40870723,0.4509412,0.42870477,0.45547396,0.78060406,1.115829
32,ID129,mase,0.4111242,0.40223905,0.39897892,0.39271763,0.32080212,0.45155436,0.3489628,0.47546273
33,ID13,mase,3.2902455,3.0106838,3.3386111,2.9122093,2.821687,3.0720859,2.7673733,2.4192407
34,ID130,mase,0.31536004,0.4064397,0.33280143,0.45223093,0.40574333,0.57239443,0.69236004,1.0970273
35,ID131,mase,0.83428925,0.80393016,0.82213193,0.8569595,0.82796216,0.7830654,1.6173111,1.8247001
36,ID135,mase,0.93317264,0.9206151,0.8248598,0.5644809,0.82264555,1.2830478,2.4678645,3.0528395
37,ID136,mase,0.9451602,0.7920212,0.7556078,1.0291231,0.9944442,0.7861275,0.9859108,0.9531713
38,ID137,mase,1.5024186,1.4962616,1.6199052,1.8051704,1.733578,1.4638873,1.1687864,0.60115093
39,ID138,mase,0.7669353,0.6282679,0.6398498,0.66110337,0.62023455,0.47976324,1.3069693,1.3264941
40,ID139,mase,0.7272665,0.6947536,0.7728527,0.6072909,0.5863371,0.5269513,0.50854456,0.88450754
41,ID14,mase,2.051313,2.0707216,1.9280804,2.2767453,2.1570828,2.010497,1.6176955,3.4552643
42,ID140,mase,1.7358751,2.1411934,2.2051182,2.465557,2.3603072,2.2762415,1.6043676,1.5312324
43,ID141,mase,0.63118774,0.57960564,0.639439,0.65937394,0.6751435,0.5948741,1.0654829,1.2757688
44,ID142,mase,0.7249041,0.59711415,0.5775984,0.878458,0.7469433,0.641059,0.88962114,0.69485575
45,ID143,mase,1.2749493,1.2883215,1.2518264,1.5205121,1.339963,1.2700824,0.38021874,1.1728123
46,ID144,mase,1.2328444,0.7070277,1.1223884,0.6822783,0.72432315,1.1253314,1.8075747,2.8657637
47,ID145,mase,1.4415176,1.4890423,1.4203279,1.4311768,1.5584996,1.5202765,1.2990435,1.3393744
48,ID146,mase,1.080346,1.1126813,1.0895803,0.9965018,1.0443627,1.0308725,0.8907512,1.3084279
49,ID148,mase,0.56490976,0.5535102,0.5371856,0.5553897,0.5534685,0.52401423,1.3126647,1.3203704
50,ID149,mase,0.86334676,0.7773623,0.76613206,0.793376,0.8493984,0.81921744,1.3041537,1.5996094
51,ID15,mase,0.27278942,0.40925744,0.36510962,0.42247248,0.38832772,0.414855,0.43729833,0.6028308
52,ID150,mase,0.8171571,0.74486095,0.76096904,0.79973716,0.789034,0.780433,0.5541548,0.83690864
