,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.5102695,0.42048332,0.3983586,0.5320137,0.47341323,0.3486243,0.22338715,1.3309436
1,ID10,mase,1.2484013,1.3013214,1.2234375,1.1548724,1.2616202,1.2596452,2.0989225,2.1313908
2,ID100,mase,0.49953413,0.5728701,0.5212883,0.6056264,0.59137136,0.66687983,0.5634985,0.6221448
3,ID101,mase,0.71198714,0.6407506,0.6762285,0.5822374,0.7115296,0.7149734,1.1825681,0.89518845
4,ID102,mase,0.8211915,1.0038942,0.9204159,0.89980036,0.92307526,1.1698819,1.1093458,1.1054027
5,ID103,mase,0.6465978,0.6053699,0.568901,0.6581805,0.6207608,0.7340905,0.9247764,0.7836867
6,ID104,mase,1.062197,0.76924545,0.98399687,0.84101754,0.7882506,0.79927975,1.2282706,1.0984397
7,ID105,mase,1.0218539,0.7147752,0.9614402,0.868101,0.7324996,0.88223135,1.1107855,0.99127084
8,ID106,mase,0.35378042,0.38904378,0.34874874,0.31923288,0.40891,0.37123784,0.4971161,0.4424203
9,ID107,mase,0.94707084,1.0151895,0.97304386,0.88179916,0.8044709,0.7907937,1.0429319,1.1263956
10,ID109,mase,1.1178018,1.0469589,1.044797,1.1617217,1.2461017,1.0604835,1.0333849,1.3157855
11,ID11,mase,0.905974,1.0049485,0.87214583,0.9365913,0.85620886,0.9289535,0.84449315,1.0275849
12,ID110,mase,1.4906658,1.6652029,1.3151513,1.6337863,1.5160668,1.4114724,0.3097175,1.0465004
13,ID111,mase,2.633344,2.7912245,2.797251,2.6692557,2.9896553,2.6725647,3.1277952,3.4543633
14,ID112,mase,0.6567302,0.7248071,0.7061874,0.9206394,0.7600968,0.80587256,0.9494092,1.8122567
15,ID113,mase,0.55164593,0.59836245,0.537471,0.78910553,0.6781706,0.65989184,0.815466,1.6487256
16,ID114,mase,0.79941314,0.80934334,0.7260217,0.8223462,0.8251043,0.7865764,0.9723361,2.682198
17,ID115,mase,0.30290276,0.32949772,0.26003897,0.33850804,0.28541255,0.29291785,0.3231513,0.6967881
18,ID116,mase,0.8132112,0.79544413,0.73644215,0.7285674,0.75685924,0.9700436,0.79231393,0.56888604
19,ID117,mase,1.3355416,1.2518628,1.0854036,1.2877371,1.2262685,1.5835478,0.93390745,1.1275458
20,ID118,mase,0.7958085,0.77684045,0.5564564,0.7345683,0.83460873,0.5686985,1.8904631,3.9492388
21,ID119,mase,0.5379928,0.65093553,0.5545595,0.84985536,0.67271096,0.616578,1.2106385,2.0553684
22,ID12,mase,0.9525654,0.8113478,0.94218487,0.7721566,0.86192364,0.7985887,0.8894553,0.9054125
23,ID120,mase,0.24149546,0.25298214,0.2534862,0.23994656,0.22646123,0.26510847,0.42345667,0.32082865
24,ID121,mase,0.4368314,0.43677372,0.38911986,0.486205,0.37263283,0.44185877,0.89029455,1.612157
25,ID122,mase,0.39268732,0.47778508,0.42940107,0.42383543,0.40747324,0.5190498,0.7609196,0.72865075
26,ID123,mase,0.4368314,0.43677372,0.38911986,0.486205,0.37263283,0.44185877,0.89029455,1.612157
27,ID124,mase,0.32954478,0.37459886,0.35684544,0.27352074,0.40574116,0.29879165,1.1698238,2.326119
28,ID125,mase,0.80081606,0.8654226,0.8343069,1.0865321,0.8601678,0.85368544,0.8157407,0.9395154
29,ID126,mase,0.38885722,0.2607801,0.36408827,0.26460296,0.31606954,0.32068962,0.5355775,0.69265115
30,ID127,mase,0.6155248,0.6038487,0.69357824,0.661695,0.6820665,0.7198869,0.7588765,0.69674885
31,ID128,mase,0.39478064,0.45446616,0.42195022,0.5423076,0.3718742,0.46242413,0.788543,1.115829
32,ID129,mase,0.39707103,0.42303902,0.42573202,0.4618062,0.3791922,0.45976612,0.3506343,0.47546273
33,ID13,mase,3.7994027,3.5125656,3.905103,2.9950557,3.695844,3.1901753,2.7462325,2.4192407
34,ID130,mase,0.47729495,0.36061907,0.48633727,0.5269316,0.45442042,0.57938796,0.748885,1.0970273
35,ID131,mase,0.7586423,0.87354153,0.99129826,0.93239695,0.9117044,0.7301846,1.7125484,1.8247001
36,ID135,mase,1.2375866,0.8232865,0.6347244,1.0469943,1.0479947,0.89455444,1.820119,3.0528395
37,ID136,mase,0.77424634,0.7455545,0.8185267,0.79969025,0.94925165,0.66110927,0.9025349,0.9531713
38,ID137,mase,1.665229,1.8206431,1.6310246,2.0064719,1.5987198,1.6321454,1.2369682,0.60115093
39,ID138,mase,0.62501293,0.7213102,0.6168451,0.58770996,0.7382832,0.45506653,1.2820915,1.3264941
40,ID139,mase,0.57520753,0.67282164,0.6477748,0.6035447,0.58867186,0.5155087,0.54103637,0.88450754
41,ID14,mase,2.2355309,2.2219079,1.9787972,2.2726145,2.2555423,2.125911,1.6342248,3.4552643
42,ID140,mase,2.252359,2.1735418,2.1394088,2.2144926,2.0144317,2.0464077,1.7401601,1.5312324
43,ID141,mase,0.65224725,0.65900165,0.68901956,0.7014514,0.76933473,0.5445504,1.1057464,1.2757688
44,ID142,mase,0.68394715,0.5575004,0.6100607,0.5792874,0.5894647,0.5160794,0.7971485,0.69485575
45,ID143,mase,1.3326856,1.4546143,1.2410539,1.4803271,1.4472978,1.2969551,0.5482187,1.1728123
46,ID144,mase,0.95860434,0.5809348,0.52025574,0.9849928,0.862516,0.6463725,1.5340904,2.8657637
47,ID145,mase,1.461091,1.525752,1.479209,1.2908865,1.463441,1.5433888,1.3040277,1.3393744
48,ID146,mase,0.94018507,0.91892624,0.92972255,0.94535524,0.9333495,0.9378481,0.8758956,1.3084279
49,ID148,mase,0.49131864,0.49584243,0.6357067,0.52372116,0.51522493,0.4700743,1.4241282,1.3203704
50,ID149,mase,0.7258455,0.7055095,0.7872577,0.6785396,0.69407356,0.69316274,1.373082,1.5996094
51,ID15,mase,0.358695,0.52485156,0.44078767,0.6587512,0.4150707,0.4296899,0.43813312,0.6028308
52,ID150,mase,0.7168032,0.8121703,0.6680726,0.7961182,0.7460646,0.7380047,0.66497946,0.83690864
53,ID151,mase,1.3161904,1.8065019,1.2586616,1.434849,1.1943576,1.2645589,1.5973637,1.1294643
54,ID152,mase,0.703693,0.78046894,0.7111833,0.6645614,0.74968636,0.65774477,1.3415608,0.8533367
55,ID153,mase,0.8669279,0.72377735,0.77062273,0.82835054,0.74279505,0.8452504,0.621991,0.9006949
56,ID154,mase,0.1431685,0.13747863,0.12957487,0.12764592,0.15260805,0.17043877,0.39610705,1.3824303
57,ID155,mase,0.20582792,0.19793512,0.24971744,0.1969729,0.2629651,0.23335144,0.3779322,0.46743193
58,ID156,mase,0.84300405,0.77608174,0.83716285,0.61452895,0.80381393,0.7548031,1.0290838,1.9656224
59,ID157,mase,0.6363071,0.70881414,0.70888895,0.7204819,0.5480876,0.86926824,0.6027972,1.4077095
60,ID158,mase,0.3650161,0.3998401,0.4568628,0.4182628,0.43620837,0.45467016,0.7828912,1.3308413
61,ID159,mase,1.1106511,1.0482883,1.0052319,1.1333601,1.1241469,1.0789182,0.72505903,0.52017
62,ID16,mase,0.7420439,0.7581393,0.8411052,0.8521791,0.8342683,0.79388386,1.2612838,0.8226528
63,ID160,mase,0.7846635,0.6143152,0.7037808,0.8657898,0.7132438,0.77428687,1.5443997,1.7099007
64,ID161,mase,0.916686,0.943789,0.9582688,0.790765,0.90201634,0.8947496,1.0467211,1.1637948
65,ID162,mase,0.5300963,0.5378938,0.5941907,0.50000757,0.5038518,0.5862933,0.5312431,0.967989
66,ID163,mase,1.2916708,1.3831198,1.2316345,1.275887,1.212694,1.309655,1.2292953,1.0950634
67,ID164,mase,1.2727362,1.0717888,1.0844415,1.1236442,1.1081342,1.0130271,1.1080064,1.2852246
68,ID166,mase,0.81363934,0.71697044,0.6331173,0.70492136,0.7035809,0.6736879,0.48904783,0.8550217
69,ID17,mase,0.69128317,0.7651679,0.6933996,0.56756175,0.6939321,0.6291143,0.56203216,0.81046563
70,ID170,mase,0.7446431,0.66375285,0.7008756,0.6283507,0.6604615,0.6729614,0.85484916,0.85717124
71,ID171,mase,0.5887939,0.53059036,0.5232763,0.47628644,0.5348186,0.52861315,0.69875604,0.6593079
72,ID173,mase,0.41860396,0.43476564,0.42171013,0.47227892,0.44753912,0.45289144,0.52774984,0.7216893
73,ID174,mase,0.87071073,0.92814445,0.89847016,0.9110321,0.87293243,1.0082191,0.7835295,0.80446875
74,ID175,mase,0.3878716,0.3586391,0.3637457,0.3526137,0.34694225,0.3358512,0.45639327,0.4194902
75,ID176,mase,0.3626903,0.32749385,0.3163586,0.4185555,0.33948067,0.31120053,0.23562992,0.402515
76,ID177,mase,0.90017915,0.9151671,0.8838329,0.90803176,0.82950974,0.8790491,0.90481323,1.1875
77,ID178,mase,1.0316195,0.9703876,1.0558606,0.91782004,0.95069695,0.8772229,0.8985846,1.231003
78,ID179,mase,1.1944914,1.1461643,1.1749859,1.1646779,1.2638333,1.1891801,0.3908425,0.59108186
79,ID18,mase,0.93050164,0.91715777,0.7270445,0.70660716,0.89231116,1.0037051,1.0992699,0.57224244
80,ID180,mase,2.7090614,2.533188,2.8259985,2.0189507,2.7289484,1.4764335,0.8330288,1.6584953
81,ID181,mase,1.1187272,1.2082579,1.1284623,1.2121888,1.2288347,1.2399067,1.0433581,1.4002092
82,ID182,mase,0.6614999,0.7634227,0.6528579,0.6220168,0.78138405,0.4816248,1.3569285,1.4039319
83,ID183,mase,1.9444071,1.9796816,2.0875,2.1085944,2.1184628,2.0189202,1.1890857,1.2428038
84,ID184,mase,0.5832684,0.5732129,0.49549723,0.57271254,0.5651224,0.7597495,0.85046,1.1432112
85,ID185,mase,1.7101566,1.5730085,1.6701642,1.6036654,1.7088778,1.3426734,2.1751351,1.3355491
86,ID186,mase,0.6732415,0.77530366,0.9928196,0.50194293,0.89367986,0.660116,4.4565654,1.0019947
87,ID187,mase,0.49542817,0.41308326,0.34647772,0.42874703,0.35746628,0.34161946,0.46776545,0.4592391
88,ID188,mase,0.7479627,0.6886392,0.7849681,0.740394,0.8392547,0.929684,1.387493,0.6239772
89,ID189,mase,0.587148,0.5213492,0.6289972,0.6939377,0.5034753,0.6669827,0.9732579,0.34181756
90,ID19,mase,1.2933683,1.2682471,0.7439182,1.293538,1.1702076,1.40799,1.8481944,0.821764
91,ID190,mase,1.9661595,2.1445856,2.0643387,2.1227694,1.8889306,1.7875537,1.5352865,1.0136229
92,ID191,mase,0.27641723,0.4352753,0.36322773,0.33408645,0.3763898,0.29757887,0.4582607,0.49678412
93,ID192,mase,0.63223207,0.6408833,0.58232695,0.3612078,0.52313364,0.7163174,0.89597064,0.8085548
94,ID193,mase,0.80378366,0.92246395,0.8366917,1.0231403,0.8547178,0.72610813,1.08038,1.1993037
95,ID194,mase,0.6823769,0.7596139,0.8885001,0.80095387,1.0002247,0.6847055,0.92693955,1.325091
96,ID195,mase,1.4033607,1.2584109,1.4588664,1.322431,1.2682414,1.3886486,1.9952376,2.3057368
97,ID196,mase,0.62238866,0.5425027,0.54047203,0.6285394,0.51546764,0.51845974,0.6632715,1.0120769
98,ID197,mase,1.5486789,1.4460139,1.4005783,1.453302,1.3521055,1.4899747,2.07642,2.8499756
99,ID198,mase,1.3430934,1.4094062,1.3402376,1.3754231,1.4118798,1.4706509,1.3453261,1.6102061
100,ID199,mase,0.8300687,0.8009174,0.7883744,0.77855533,0.8160707,0.83031964,0.86511064,0.98944926
101,ID2,mase,1.1022897,1.1331148,1.0282358,1.0187826,1.0960377,0.96459085,1.24389,0.981118
102,ID20,mase,1.4475368,1.2149777,0.9560219,1.5720737,1.4060336,1.7884009,2.8588836,0.8096639
103,ID200,mase,0.67236817,0.91962963,0.7354596,0.8512409,0.81081116,0.73538065,1.5223336,1.4457788
104,ID201,mase,1.5126603,1.5667837,1.5257555,1.4263743,1.4355525,1.5910571,1.792762,1.9026387
105,ID203,mase,1.1158898,1.2167413,0.886392,1.045883,0.97864896,1.2240255,0.5922692,0.8836348
106,ID204,mase,1.6375505,1.6507556,1.6504298,1.5342788,1.6134311,1.5436566,1.8030336,1.4893458
