,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.5102695,0.26238224,0.45010692,0.41755548,0.271152,0.18600242,0.27093607,1.3309436
1,ID10,mase,1.2484013,1.3285968,1.3959395,1.229759,1.5192436,1.5209717,2.1325698,2.1313908
2,ID100,mase,0.49953413,0.52511084,0.53044826,0.53279823,0.48830384,0.54643476,0.557339,0.6221448
3,ID101,mase,0.71198714,0.6014877,0.54700494,0.57602215,0.66109073,0.5732243,1.1365337,0.89518845
4,ID102,mase,0.8211915,0.9112838,0.93116117,0.7981489,1.0396273,1.0193477,1.1468254,1.1054027
5,ID103,mase,0.6465978,0.66539824,0.61786485,0.658504,0.63276815,0.6351727,0.7575948,0.7836867
6,ID104,mase,1.062197,0.9517665,0.90280557,0.93027604,0.8549634,0.8430251,1.211215,1.0984397
7,ID105,mase,1.0218539,0.88882065,0.84781563,0.8701273,0.76008004,0.78519505,1.0961998,0.99127084
8,ID106,mase,0.35378042,0.27764505,0.3854103,0.29850343,0.32629198,0.35074663,0.5036073,0.4424203
9,ID107,mase,0.94707084,0.96819973,0.94963306,0.96877164,0.8352612,0.84453547,1.0412719,1.1263956
10,ID109,mase,1.1178018,1.0451205,1.0815592,1.1063751,1.0861754,1.045318,1.0415806,1.3157855
11,ID11,mase,0.905974,0.83449244,0.8661563,0.91073066,0.8591428,0.86693007,0.8440016,1.0275849
12,ID110,mase,1.4906658,1.234308,1.1204582,1.3951938,1.0977818,0.9558876,0.29667994,1.0465004
13,ID111,mase,2.633344,2.8419576,2.9208117,2.8659377,2.965159,2.929314,3.1496904,3.4543633
14,ID112,mase,0.6567302,0.5917172,0.6362522,0.52737755,0.5848808,0.62779087,1.1076313,1.8122567
15,ID113,mase,0.55164593,0.45206335,0.4945676,0.42340243,0.49255732,0.5125919,0.98934007,1.6487256
16,ID114,mase,0.79941314,0.714292,0.76870173,0.7408721,0.80265814,0.75938773,1.2062374,2.682198
17,ID115,mase,0.30290276,0.25660953,0.26017988,0.23623972,0.24413894,0.23369798,0.3559529,0.6967881
18,ID116,mase,0.8132112,0.6925512,0.7180528,0.660749,0.7301556,0.6882885,0.79288405,0.56888604
19,ID117,mase,1.3355416,1.1105101,1.0487581,0.9587436,1.1879311,1.0385934,0.9341562,1.1275458
20,ID118,mase,0.7958085,0.6048509,0.5318935,0.5271085,0.62110937,0.88788396,1.2480121,3.9492388
21,ID119,mase,0.5379928,0.4786276,0.48845443,0.47877777,0.5440584,0.60672176,1.361903,2.0553684
