,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID1,mase,0.5102695,0.4202715,0.32806176,0.50479776,0.38773528,0.4362403,0.27161002,1.3309436
1,ID10,mase,1.2484013,1.1877928,1.249439,1.1349344,1.1072664,1.0896713,2.1016352,2.1313908
2,ID100,mase,0.49953413,0.52484095,0.4939867,0.5271388,0.51232713,0.5219296,0.5622388,0.6221448
3,ID101,mase,0.71198714,0.70197886,0.691622,0.6343979,0.58732533,0.62767,1.1529384,0.89518845
4,ID102,mase,0.8211915,0.9643341,0.9917549,0.79329205,0.7724204,0.7826194,1.1853328,1.1054027
5,ID103,mase,0.6465978,0.626105,0.57780296,0.71166414,0.68053216,0.73576003,0.7554773,0.7836867
6,ID104,mase,1.062197,0.9916388,1.0435157,0.91106874,0.89487374,0.9877731,1.2438904,1.0984397
7,ID105,mase,1.0218539,0.9381098,0.96752095,0.8533402,0.81060773,0.91677016,1.1378216,0.99127084
8,ID106,mase,0.35378042,0.36308417,0.35589653,0.3199083,0.32874802,0.3223919,0.49445814,0.4424203
9,ID107,mase,0.94707084,1.0001107,1.1020257,1.0609827,0.96072674,1.0183833,1.0619972,1.1263956
10,ID109,mase,1.1178018,1.1049937,1.1738812,1.1513327,1.221611,1.1799226,1.086724,1.3157855
11,ID11,mase,0.905974,0.8628148,0.85453206,0.945114,0.8877805,0.93395066,0.81313777,1.0275849
12,ID110,mase,1.4906658,1.3744527,1.2297722,1.5939068,1.1743984,1.4461163,0.6126728,1.0465004
13,ID111,mase,2.633344,2.7399359,2.6697757,3.001155,2.8987641,2.797343,3.213839,3.4543633
14,ID112,mase,0.6567302,0.8097874,0.6398338,0.8390204,0.79750985,0.8495099,0.78481525,1.8122567
15,ID113,mase,0.55164593,0.64771795,0.5076185,0.65685105,0.62777835,0.69201106,0.6336112,1.6487256
16,ID114,mase,0.79941314,0.83530414,0.7687702,0.82124096,0.8063929,0.8627848,0.7978604,2.682198
17,ID115,mase,0.30290276,0.3144913,0.2857098,0.3268053,0.29870293,0.30647847,0.26111126,0.6967881
18,ID116,mase,0.8132112,0.74291587,0.6331998,0.69731236,0.7885213,0.8081097,0.79650444,0.56888604
19,ID117,mase,1.3355416,1.1869113,1.1168528,1.2742801,1.215781,1.2330074,0.9379246,1.1275458
20,ID118,mase,0.7958085,0.76438254,0.6243455,0.67516917,0.6279815,0.96228576,1.0627278,3.9492388
21,ID119,mase,0.5379928,0.689833,0.508329,0.711504,0.6163433,0.64164144,0.9658763,2.0553684
22,ID12,mase,0.9525654,0.9793054,0.9074942,0.8816486,0.98606557,0.9111062,0.857059,0.9054125
23,ID120,mase,0.24149546,0.27375895,0.26727566,0.26837942,0.28954825,0.28188276,0.4281712,0.32082865
24,ID121,mase,0.4368314,0.4406343,0.3784467,0.49106973,0.43840867,0.46315426,0.8060274,1.612157
25,ID122,mase,0.39268732,0.43945232,0.4375994,0.460367,0.4676412,0.4502632,0.7590558,0.72865075
26,ID123,mase,0.4368314,0.4406343,0.3784467,0.49106973,0.43840867,0.46315426,0.8060274,1.612157
27,ID124,mase,0.32954478,0.38948432,0.29039496,0.38518357,0.34648713,0.5102401,0.8500086,2.326119
28,ID125,mase,0.80081606,0.8922459,0.8057363,0.8894622,0.86200136,1.0540847,0.8367768,0.9395154
