,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.5126204,0.55888003,0.607887,0.539568,0.70153093,0.64063555,1.1217424,2.0234146
1,ID1,mase,0.9633219,0.94645303,0.95436406,0.9614751,0.9897001,0.87831753,0.956065,1.7774295
2,ID10,mase,1.4516271,1.4377583,1.3881199,1.4423236,1.4385899,1.4563437,1.1491842,1.8304552
3,ID101,mase,1.2587044,1.4099655,1.568575,1.404095,1.7551385,1.5080324,6.4166255,7.6812987
4,ID102,mase,0.47947732,0.46206257,0.5259187,0.45626643,0.4739063,0.45248955,1.0753316,1.6502922
5,ID103,mase,0.42137793,0.59409684,0.47737944,0.47928208,0.5640124,0.716416,0.8771251,2.0384614
6,ID104,mase,0.3627921,0.43780386,0.50899583,0.43431088,0.44396865,0.3919981,2.6115112,3.302027
7,ID105,mase,0.22117783,0.36577034,0.3144775,0.2147891,0.34992513,0.4694808,0.5611827,1.8073021
8,ID107,mase,1.2311491,1.3340663,1.249467,1.2524968,1.1207567,1.2640905,1.503006,2.9213116
9,ID108,mase,1.1572236,0.9351993,0.86189866,0.9305461,1.0302031,0.88451326,0.6247189,0.79044586
10,ID109,mase,4.4736075,4.542896,4.5604124,4.480186,4.6219115,4.443102,4.018076,4.5462613
11,ID110,mase,0.42324883,0.21501775,0.3909275,0.30202925,0.36385438,0.36311957,0.8823729,0.49122807
12,ID111,mase,0.57659996,0.49278694,0.6194064,0.49836397,0.47787443,0.4673525,1.2355247,1.6375946
13,ID112,mase,0.5550108,0.36454165,0.49811718,0.50242513,0.4870767,0.3592063,1.8819773,2.897561
14,ID113,mase,0.7961629,0.7555788,0.7847777,0.7865765,0.77242386,0.72490627,1.1317743,0.9585925
15,ID114,mase,1.667936,1.4897145,1.4261144,1.7366369,1.5161899,1.580259,2.0861337,2.2757685
16,ID115,mase,1.5629033,1.5570766,1.1642137,1.4516956,1.5943897,1.7389648,1.5354923,1.4956268
17,ID116,mase,0.116125755,0.11749653,0.09811295,0.09403464,0.039433844,0.06554091,0.8382572,1.3096288
18,ID117,mase,0.2656024,0.2655151,0.28513572,0.28583896,0.2823588,0.2531414,0.90247893,1.3030236
19,ID118,mase,0.17147991,0.1711436,0.14695455,0.1506007,0.13059975,0.16491832,0.7276039,1.0729381
20,ID119,mase,0.69915587,0.715638,0.68740076,0.6336442,0.52975804,0.6257367,1.0861899,1.7068273
21,ID12,mase,0.061941225,0.050778702,0.055868637,0.04982073,0.04918751,0.046716575,0.0663096,0.11320755
22,ID120,mase,0.07640563,0.2860262,0.13411959,0.12489032,0.2021573,0.33359927,1.6800269,2.8591032
23,ID121,mase,0.40350482,0.40732944,0.41236603,0.39988258,0.40092817,0.4123971,0.45070425,0.43619797
24,ID122,mase,0.42755386,0.3872463,0.41427112,0.42952564,0.42697436,0.3895795,0.929048,1.1764195
25,ID123,mase,0.4906681,0.60515994,0.5326062,0.53150916,0.52161026,0.6059403,1.2008351,2.0938842
26,ID124,mase,0.28837752,0.31527865,0.3083474,0.2953726,0.30589196,0.31064984,0.35407966,0.602953
