,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.5126204,0.4752968,0.5630078,0.61504495,0.655333,0.6340311,0.7547961,2.0234146
1,ID1,mase,0.9633219,0.9681779,0.99596125,1.0052342,1.1039264,1.0806653,0.38771686,1.7774295
2,ID10,mase,1.4516271,1.3788365,1.3965819,1.3082297,1.376825,1.2683164,1.1327543,1.8304552
3,ID101,mase,1.2587044,1.224378,1.3069913,1.3854183,1.6578132,1.8215696,7.2101445,7.6812987
4,ID102,mase,0.47947732,0.45626712,0.463276,0.50177425,0.43586504,0.4935918,1.5162653,1.6502922
5,ID103,mase,0.42137793,0.6438164,0.5930481,0.42480704,0.55202544,0.47370148,1.5760821,2.0384614
6,ID104,mase,0.3627921,0.37678912,0.3519073,0.38519087,0.28028163,0.32614753,3.2918558,3.302027
7,ID105,mase,0.22117783,0.2746242,0.2461904,0.16090402,0.22327538,0.12995817,1.3684639,1.8073021
8,ID107,mase,1.2311491,1.4424134,1.3455439,1.2136471,1.1958222,1.0542701,2.1657383,2.9213116
9,ID108,mase,1.1572236,0.84181076,0.8349602,0.77564454,0.8880583,0.9055655,0.63602173,0.79044586
10,ID109,mase,4.4736075,4.5276914,4.535711,4.440726,4.5838237,4.523482,3.8824887,4.5462613
11,ID110,mase,0.42324883,0.11016792,0.054009423,0.25637147,0.20030908,0.120616175,0.83637655,0.49122807
12,ID111,mase,0.57659996,0.56977427,0.57848436,0.54374033,0.63813907,0.55720145,1.7101301,1.6375946
13,ID112,mase,0.5550108,0.3863219,0.41934198,0.46002543,0.5458313,0.56331325,2.4010282,2.897561
14,ID113,mase,0.7961629,0.7545877,0.7779668,0.75409454,0.71024466,0.73844147,1.5107704,0.9585925
15,ID114,mase,1.667936,1.2863266,1.3414967,1.2351533,1.4407877,1.5160775,2.8706934,2.2757685
16,ID115,mase,1.5629033,1.471346,1.3266555,1.6538515,1.3848082,1.1970489,2.735109,1.4956268
17,ID116,mase,0.116125755,0.16921064,0.13369524,0.08281901,0.059176844,0.009221261,1.0647455,1.3096288
18,ID117,mase,0.2656024,0.25299335,0.26026118,0.26579317,0.25652382,0.274383,1.104667,1.3030236
19,ID118,mase,0.17147991,0.21842167,0.18897592,0.141468,0.13478866,0.09846193,0.91431034,1.0729381
20,ID119,mase,0.69915587,0.8679294,0.81896573,0.7273977,0.700599,0.68265617,1.4362756,1.7068273
21,ID12,mase,0.061941225,0.047764618,0.04688734,0.048579462,0.04075997,0.04388683,0.10154383,0.11320755
22,ID120,mase,0.07640563,0.26724517,0.21182494,0.13265234,0.08204007,0.031356603,2.2838378,2.8591032
23,ID121,mase,0.40350482,0.4217252,0.4296638,0.40382147,0.44139227,0.43385476,0.49607953,0.43619797
24,ID122,mase,0.42755386,0.3350849,0.3561577,0.3872487,0.38582936,0.39214593,1.0853914,1.1764195
25,ID123,mase,0.4906681,0.6583668,0.5948652,0.50413096,0.50038606,0.4186092,1.6382935,2.0938842
26,ID124,mase,0.28837752,0.29870257,0.3278249,0.29860258,0.3238209,0.30149552,0.3499118,0.602953
27,ID125,mase,0.8866739,0.42580605,0.5032026,0.35480556,0.56738544,0.26465052,1.5994015,0.16764669
28,ID126,mase,1.5115432,1.3633759,1.3102025,1.291427,1.2799283,1.3483093,3.0058346,2.4829545
29,ID127,mase,0.39963806,0.34995535,0.38023764,0.4382582,0.44250044,0.47989848,2.1850083,2.4201362
30,ID128,mase,0.02533991,0.06454055,0.028934725,0.05935987,0.08290467,0.16097832,1.8614725,2.2648525
31,ID129,mase,0.31689063,0.47303155,0.38944715,0.26147786,0.24888644,0.13995036,2.9362092,3.544681
32,ID13,mase,1.2632822,1.2445586,1.2222089,1.0974213,0.98004556,0.9892673,1.3468117,1.4522916
33,ID130,mase,0.16866909,0.14762275,0.15792702,0.18602404,0.20598274,0.19938926,2.497189,2.8455555
34,ID131,mase,0.029859865,0.021880833,0.003171154,0.044482913,0.04853588,0.07219328,1.1263579,1.3034129
35,ID132,mase,0.12318847,0.1465607,0.13678959,0.08447156,0.084134586,0.087810785,0.9048639,1.029176
36,ID133,mase,0.6520071,0.66650957,0.6964876,0.71108735,0.7425381,0.77009654,1.7091142,1.7207462
