,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.6116638,0.8054092,0.8536368,0.4955532,1.0098901,0.9361797,1.1100541,2.0234146
1,ID1,mase,0.93392295,1.053057,1.1912936,0.9748214,0.95947844,0.99544984,0.90561074,1.7774295
2,ID10,mase,1.5706285,1.4802406,1.3326536,1.4482195,1.4171082,1.4591367,1.1729484,1.8304552
3,ID101,mase,1.3677837,1.4094993,1.3665632,1.4433976,1.6276323,1.4055703,6.0602417,7.6812987
4,ID102,mase,0.5679342,0.5864637,0.57815415,0.5420808,0.5227144,0.61032426,1.0826825,1.6502922
5,ID103,mase,0.51434094,0.7524672,0.7791771,0.5679773,0.63651687,0.6719002,0.85276383,2.0384614
6,ID104,mase,0.2690884,0.41474372,0.44933394,0.41948658,0.3828008,0.3600641,2.3786705,3.302027
7,ID105,mase,0.15301107,0.5187697,0.6372783,0.4161481,0.5219026,0.549815,0.504234,1.8073021
8,ID107,mase,1.3783407,1.5569419,1.3786744,1.3559974,1.3199601,1.3253186,1.4090384,2.9213116
9,ID108,mase,0.90897787,0.9688814,1.0130907,0.9972178,1.0167104,0.93364596,0.6255522,0.79044586
10,ID109,mase,4.573489,4.606072,4.650074,4.5725985,4.609989,4.621532,4.069108,4.5462613
11,ID110,mase,0.2524481,0.20043865,0.4087476,0.3106039,0.34839538,0.27120116,0.91266376,0.49122807
12,ID111,mase,0.56261927,0.62572443,0.7396912,0.47750106,0.8499011,0.6079381,1.3869791,1.6375946
13,ID112,mase,0.41616586,0.36282858,0.40577415,0.6289442,0.39122877,0.32666937,1.7569116,2.897561
14,ID113,mase,0.8465937,0.8110963,0.700055,0.8280946,0.7629249,0.904197,1.0981911,0.9585925
15,ID114,mase,0.9522653,1.2129896,0.7902267,1.2857256,1.2642004,1.4434162,1.8487928,2.2757685
16,ID115,mase,1.1987522,1.4007365,1.5572003,1.352821,1.3988819,1.3466291,1.4693413,1.4956268
17,ID116,mase,0.08243692,0.16884217,0.11669266,0.123757415,0.09844062,0.11350099,0.83130467,1.3096288
18,ID117,mase,0.25099847,0.26278847,0.28158247,0.28924698,0.2587161,0.2516457,0.85403764,1.3030236
19,ID118,mase,0.18034405,0.20802681,0.17705679,0.18365066,0.16718939,0.23170213,0.6729868,1.0729381
20,ID119,mase,0.6896329,0.7698986,0.7573499,0.686621,0.68261325,0.74341017,1.0615935,1.7068273
21,ID12,mase,0.050273556,0.049444154,0.056511234,0.038464736,0.045763288,0.03782732,0.068957224,0.11320755
22,ID120,mase,0.23153572,0.3420593,0.282705,0.19190335,0.31749728,0.3317202,1.5269496,2.8591032
23,ID121,mase,0.4647697,0.4406385,0.43111047,0.42482093,0.4385809,0.4384704,0.44607744,0.43619797
24,ID122,mase,0.4011261,0.39773893,0.39036518,0.3776142,0.39401028,0.37818736,0.9249421,1.1764195
25,ID123,mase,0.5975145,0.7129323,0.64138377,0.51671594,0.624986,0.66666114,1.1060549,2.0938842
26,ID124,mase,0.33312964,0.34781593,0.326757,0.30099466,0.33992758,0.36676767,0.30619237,0.602953
27,ID125,mase,0.43664765,0.6641848,0.67902595,0.59726465,0.8990176,0.5884022,0.86343825,0.16764669
28,ID126,mase,1.4720255,1.5271386,1.5130372,1.4588484,1.5050126,1.5479797,2.4115436,2.4829545
29,ID127,mase,0.39538944,0.356459,0.40286437,0.44008815,0.47342247,0.41163364,1.8876783,2.4201362
30,ID128,mase,0.049271997,0.101163246,0.069184355,0.028271195,0.0337015,0.02634209,1.4737712,2.2648525
31,ID129,mase,0.3075263,0.4332152,0.38249174,0.3546461,0.25275436,0.4169727,2.3586595,3.544681
