,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.6116638,0.7110005,0.7480157,0.6572523,0.8796283,0.63622266,1.195087,2.0234146
1,ID1,mase,0.93392295,1.1563399,1.33818,0.9670485,1.3410755,1.4865271,1.0201743,1.7774295
2,ID10,mase,1.5706285,1.1913104,1.248697,1.393773,1.1146384,1.0839739,1.1392484,1.8304552
3,ID101,mase,1.3677837,1.0064132,1.3153334,1.2799292,0.8829608,1.0694274,6.3996634,7.6812987
4,ID102,mase,0.5679342,0.7814845,0.66508126,0.8542505,1.021429,1.128773,1.1439339,1.6502922
5,ID103,mase,0.51434094,0.94553024,0.6999066,0.61424077,1.0075736,0.9189113,0.88005185,2.0384614
6,ID104,mase,0.2690884,0.535716,0.5728227,0.6652849,0.8638962,0.7497022,2.5645251,3.302027
7,ID105,mase,0.15301107,0.3853886,0.43752965,0.21503063,0.41391185,0.5212876,0.54363185,1.8073021
8,ID107,mase,1.3783407,0.8916351,1.0494627,0.85204786,0.59026974,0.46120155,1.6666298,2.9213116
9,ID108,mase,0.90897787,1.1148145,1.2286626,0.6938475,1.277844,1.3804913,0.6157847,0.79044586
10,ID109,mase,4.573489,4.639256,4.796136,4.4842334,4.7719274,4.921299,4.0089207,4.5462613
11,ID110,mase,0.2524481,0.51096064,0.47676006,0.7710831,1.1728318,1.1511474,0.9150784,0.49122807
12,ID111,mase,0.56261927,0.6245966,0.7605479,0.71476233,0.9174056,0.95611185,1.2958783,1.6375946
13,ID112,mase,0.41616586,0.9002811,0.6923211,0.981037,1.029334,1.10338,1.9979479,2.897561
14,ID113,mase,0.8465937,0.39808524,0.4641144,0.45432168,0.06497544,0.032459855,1.1611286,0.9585925
15,ID114,mase,0.9522653,0.6321651,0.7583572,0.603329,0.64673644,0.64262426,2.065356,2.2757685
16,ID115,mase,1.1987522,1.3528991,1.718142,1.3898206,2.121767,2.22111,1.6252635,1.4956268
17,ID116,mase,0.08243692,0.032648005,0.03450518,0.08565126,0.06461685,0.09709366,0.90174025,1.3096288
18,ID117,mase,0.25099847,0.28472668,0.29088125,0.2815388,0.32198343,0.33165234,0.9355542,1.3030236
19,ID118,mase,0.18034405,0.11143674,0.12980697,0.16413844,0.057653543,0.008889938,0.744016,1.0729381
20,ID119,mase,0.6896329,0.8162816,0.79689866,0.6392054,1.069727,1.0294596,1.1388197,1.7068273
21,ID12,mase,0.050273556,0.05072737,0.039269708,0.04033774,0.04742358,0.05097908,0.06628147,0.11320755
22,ID120,mase,0.23153572,0.21234287,0.0819605,0.24038805,0.4067912,0.48714766,1.8004547,2.8591032
23,ID121,mase,0.4647697,0.46462813,0.42938814,0.44692308,0.45050308,0.4465493,0.44435015,0.43619797
24,ID122,mase,0.4011261,0.3984219,0.38325414,0.4067684,0.2333301,0.27309236,0.954593,1.1764195
25,ID123,mase,0.5975145,0.32337654,0.41981086,0.3727579,0.13381176,0.055396758,1.2848018,2.0938842
26,ID124,mase,0.33312964,0.25583977,0.28767577,0.2028496,0.19126655,0.30471987,0.33124545,0.602953
27,ID125,mase,0.43664765,1.0084718,1.1014148,0.8782356,1.4094021,1.5617853,0.82961506,0.16764669
28,ID126,mase,1.4720255,1.5489062,1.4027246,1.569978,1.323541,1.1947768,2.5190632,2.4829545
29,ID127,mase,0.39538944,0.3598872,0.39040756,0.38140872,0.3418343,0.30538628,1.9745721,2.4201362
30,ID128,mase,0.049271997,0.23217805,0.14324836,0.30503613,0.37093863,0.45068532,1.6019263,2.2648525
31,ID129,mase,0.3075263,0.14428322,0.2165326,0.15149964,0.20245686,0.23203878,2.5339096,3.544681
32,ID13,mase,1.1956998,1.2001618,1.2199526,1.1233146,1.2188426,1.220513,1.1178571,1.4522916
33,ID130,mase,0.14591111,0.20009305,0.23760438,0.21798283,0.17945142,0.17572623,2.216403,2.8455555
34,ID131,mase,0.01391216,0.02548059,0.036398996,0.034366038,0.032296825,0.02666411,0.9967925,1.3034129
35,ID132,mase,0.1539765,0.1556508,0.15413618,0.15223643,0.11046561,0.10806334,0.65155137,1.029176
36,ID133,mase,0.7536423,0.6078147,0.5974834,0.5663489,0.36291564,0.49825463,1.5424573,1.7207462
37,ID134,mase,1.551472,1.2757357,1.2592762,1.1919706,1.111031,1.1305835,1.6343747,3.1866133
38,ID135,mase,0.076358125,0.59647095,0.3728767,0.4136627,0.64024484,0.6550012,0.6712931,0.8353081
39,ID136,mase,0.53468865,0.48767728,0.5812395,0.45113045,0.6464605,0.70479214,0.4132773,0.35698783
40,ID137,mase,1.0025651,0.5513795,0.72325045,0.3076496,0.29763526,0.17550543,0.2368796,1.0893016
41,ID138,mase,0.3226275,0.32650447,0.3608144,0.35161328,0.38572672,0.4737664,1.8183917,2.3620977
42,ID139,mase,1.5231631,1.4053928,1.4733928,1.3830998,1.3669264,1.3840841,1.416801,1.3930285
43,ID14,mase,0.82144815,0.86243224,0.80502224,0.9117043,0.8703752,0.8732906,0.78894174,0.4299994
44,ID140,mase,2.8657002,3.433565,3.425226,2.733648,3.2690442,3.2717934,2.6365345,0.5714286
45,ID141,mase,2.0283902,3.1007204,2.9142058,2.4854765,3.058227,2.8544066,1.6698687,1.0826771
46,ID142,mase,0.18396962,0.097087935,0.09119202,0.121633045,0.31185928,0.26136515,0.7106262,0.8503401
47,ID143,mase,0.97000754,1.1375087,1.1331643,0.93122905,1.4394894,1.3842971,0.9637451,1.574074
48,ID144,mase,1.5936074,1.3297417,1.4040174,1.0091249,1.162438,1.0867836,0.23009233,1.1627907
49,ID145,mase,0.34210983,0.23755425,0.33926553,0.28997102,0.300192,0.31460622,0.30783734,0.65575624
50,ID146,mase,0.5272854,0.48035523,0.57375586,0.4438716,0.6388641,0.697095,0.40608382,0.3498916
51,ID147,mase,0.46091697,0.4061602,0.39104128,0.36333844,0.36631528,0.3431111,0.65716857,0.6132707
52,ID148,mase,0.11021505,0.13829926,0.13263159,0.19436221,0.2488281,0.2658036,0.31601676,0.15455092
53,ID149,mase,0.09042744,0.14587621,0.17612156,0.09285556,0.14278257,0.1555577,0.18322837,0.13126473
54,ID15,mase,1.4233735,1.2639512,1.3276098,1.2673217,1.1713504,1.0703276,0.9961345,1.8256366
55,ID150,mase,0.20647365,0.23311204,0.23511681,0.2192227,0.3731128,0.35496938,0.52033323,0.20503615
56,ID151,mase,0.2221177,0.23465738,0.23722401,0.25731772,0.29560807,0.2815067,0.3114345,0.14474365
57,ID152,mase,0.4405845,0.38848153,0.41158175,0.42980036,0.4445411,0.42554337,0.43573928,0.46729
58,ID153,mase,1.1136662,3.3767087,2.4928458,3.9378076,5.3720517,4.5265265,2.4330482,2.8177965
59,ID154,mase,0.37234488,1.4644568,1.5128555,1.3074571,1.8203396,2.0342214,1.8045113,1.3285024
60,ID155,mase,0.6725475,1.6362492,1.7972153,0.974943,2.858494,2.9498432,1.6527991,0.8336815
61,ID156,mase,1.4720255,1.5489062,1.4027246,1.569978,1.323541,1.1947768,2.5190632,2.4829545
62,ID157,mase,1.1923593,0.65387887,0.8269103,0.44373426,0.46934056,0.33206955,0.7561631,1.7381536
63,ID158,mase,1.0969671,0.7718568,0.86705506,0.57623726,0.6390263,0.5300976,0.23031646,0.95053196
64,ID159,mase,0.08660901,0.17907222,0.097125635,0.2948924,0.3084914,0.38652724,1.4074883,2.0414534
65,ID16,mase,1.7992768,1.6216397,1.6417621,1.519552,1.3639239,1.4291092,2.1721802,2.4200675
66,ID160,mase,1.0302579,0.64623564,0.8711893,0.511931,0.47094148,0.40151712,0.23451474,0.7446038
67,ID161,mase,0.7521121,0.5066359,0.59141266,0.32081312,0.37190384,0.3165806,0.95214,1.7895588
68,ID162,mase,1.2539953,2.4068305,2.4117348,2.0845373,2.5707617,2.783079,2.4784486,0.75376886
69,ID163,mase,1.6666001,2.3803437,2.4692142,1.8536516,2.5076556,2.633571,2.541871,0.3829787
70,ID164,mase,2.7213979,2.6393912,2.8115258,2.6488366,2.6661067,2.8129857,2.390682,3.0069637
71,ID165,mase,0.2950434,0.12696402,0.25077948,0.18088603,0.16820748,0.15372644,0.06928042,0.3997599
72,ID166,mase,2.076226,2.1206222,2.166753,2.1129405,2.2131746,2.3076842,1.6914507,1.9655173
73,ID167,mase,1.8737674,1.8571976,1.8713416,1.8920561,1.8403041,1.813888,3.1534035,3.536042
74,ID168,mase,0.21900976,0.2668224,0.21920748,0.20779951,0.31050286,0.3503262,0.96163183,1.2620192
75,ID17,mase,1.3537892,1.3995683,1.3897148,1.4265361,1.3683941,1.37125,0.5255097,0.93955517
76,ID173,mase,0.3769826,0.5467371,0.42085454,0.3610178,0.67949903,0.65063274,0.3869636,0.38770822
77,ID174,mase,0.16963272,0.179296,0.17623015,0.21754485,0.22859259,0.1904647,0.89167047,1.0432191
78,ID175,mase,0.22011657,0.20768474,0.21724184,0.1953627,0.19407183,0.18626411,0.27229095,0.27427596
79,ID176,mase,2.7585053,2.7988646,3.0044928,2.6816003,2.8202167,3.0087588,2.508198,3.3308551
80,ID177,mase,0.37594354,0.3645451,0.32553583,0.35008806,0.41688424,0.43630713,0.48645702,0.9008314
81,ID178,mase,0.04790761,0.08616653,0.062401522,0.0726747,0.09530692,0.071416646,0.20022258,0.07614206
82,ID179,mase,0.1607493,0.1898257,0.07794101,0.22889511,0.23110959,0.25682706,0.22771317,0.5786026
83,ID18,mase,1.2931454,1.3283049,1.2043574,1.3781538,1.5567987,1.5362259,0.95658946,1.5177279
84,ID180,mase,0.15528981,0.1857396,0.110184304,0.25760606,0.17801106,0.12579894,0.958378,1.535254
