,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,1.7964268,1.8114591,1.9092162,1.8012959,1.6825409,1.4743289,1.6523423
1,ID1,mase,0.6962585,0.67334884,0.76451224,0.7443597,0.6157972,1.2933056,0.6560234
2,ID10,mase,1.5576017,1.6018823,1.3834575,1.5658858,1.7174273,1.5169652,0.50213987
3,ID100,mase,0.80626357,0.72669744,0.78878045,0.78954387,0.9805089,1.594338,1.322672
4,ID101,mase,0.7781242,0.6855951,0.85495806,0.72487396,0.881762,1.9033493,0.85678566
5,ID102,mase,0.69260216,0.98497087,0.6367708,0.7517837,1.1152068,0.46181634,0.59913737
6,ID103,mase,1.337694,1.4398681,1.3255963,1.2884,1.4243948,0.9272068,1.0389642
7,ID104,mase,1.0844373,1.1578897,1.147603,1.0973308,1.099398,0.748257,1.5041574
8,ID105,mase,0.5410619,0.56011814,0.5801359,0.5751304,0.5594523,0.6013932,0.49615568
9,ID106,mase,0.4995154,0.4942229,0.5026991,0.4989593,0.49616233,0.48038232,0.49196902
10,ID107,mase,0.5422727,0.5555861,0.6061723,0.56237787,0.5592204,0.50624347,0.9829676
11,ID108,mase,0.7953302,0.9246811,0.6441506,0.7943242,0.9068918,0.5007759,0.57120776
12,ID109,mase,0.88536066,0.73520696,1.0113037,0.852358,0.6480381,1.4887626,0.7931279
13,ID11,mase,0.7162753,0.80316734,0.6618746,0.7783347,0.75579447,0.38775188,1.0710356
14,ID110,mase,0.77634925,0.9984128,0.6438228,0.8250582,1.1648088,0.96774596,0.89296454
15,ID111,mase,0.37712544,0.30739495,0.41255516,0.37104338,0.3537521,0.9196656,0.3119252
16,ID112,mase,0.94008034,1.0364516,0.86097103,0.8906298,1.1115618,0.7524533,0.60887223
17,ID113,mase,0.65507424,0.6676223,0.6486806,0.68557215,0.67951953,0.7594658,0.6879804
18,ID114,mase,0.68410885,0.6753838,0.6478653,0.5990144,0.5420804,1.2893627,0.60522294
19,ID115,mase,0.9005017,0.79295975,1.1207638,0.9783875,1.1231221,2.543709,0.9737069
20,ID116,mase,0.20330721,0.20557925,0.17103647,0.18953079,0.2506791,0.9850756,0.4190104
21,ID117,mase,0.37662792,0.5814728,0.2651753,0.4743716,0.5762663,0.51508784,0.17705764
22,ID118,mase,0.7093195,0.8744464,0.61701083,0.7685637,1.014476,0.2501672,0.756469
23,ID119,mase,0.35267115,0.57499075,0.33230665,0.40959558,0.59545195,0.23085478,0.5553835
24,ID12,mase,0.6619521,0.71879286,0.7346517,0.67950296,0.6519548,1.1225964,0.45154724
25,ID120,mase,0.28079677,0.32277778,0.30030832,0.25517717,0.23386005,0.4644701,0.31206876
26,ID121,mase,0.17669435,0.29197064,0.17736721,0.23022246,0.26350138,0.18712536,0.41808626
27,ID122,mase,0.43770015,0.46750045,0.39209533,0.4382816,0.58791035,0.0943236,0.3971962
28,ID123,mase,0.17636439,0.17487153,0.16234887,0.16718632,0.21092696,0.33638257,0.3068764
29,ID124,mase,1.3092474,1.3111554,1.2928224,1.4444617,1.5662005,0.2762706,2.8403656
30,ID125,mase,0.649554,0.8734354,0.5500056,0.5733331,1.0111865,0.3116931,0.85512894
31,ID126,mase,0.44517964,0.43950295,0.42966008,0.44801873,0.44553968,0.47994554,0.44355124
32,ID127,mase,0.27455467,0.3575566,0.25608972,0.24846111,0.41169065,0.15801232,0.5415231
33,ID128,mase,0.4690504,0.639708,0.52309525,0.5519959,0.6706736,0.9375746,1.3863121
34,ID129,mase,0.6010106,0.69622594,0.49923885,0.6672377,0.6686611,1.257882,1.0529821
35,ID13,mase,0.43933553,0.3610025,0.5547633,0.40458986,0.3027764,0.3208107,0.8026555
36,ID130,mase,0.44469425,0.4214602,0.417459,0.4121869,0.42423064,0.804869,1.029827
37,ID131,mase,0.07031923,0.08050607,0.07469415,0.06522575,0.08537023,0.07282721,0.17500836
38,ID132,mase,0.3375084,0.3372792,0.3562942,0.3506317,0.35573488,0.2508329,0.57763696
39,ID133,mase,1.14215,1.282797,1.0262651,1.2788733,1.4559671,0.45627496,0.8791195
40,ID134,mase,0.20522389,0.22204559,0.21699546,0.20895405,0.21870981,0.4479756,0.31434572
41,ID135,mase,0.94629985,1.4101071,0.748768,1.0175694,1.4141055,0.42843777,0.6894208
42,ID136,mase,0.80417216,1.0448761,0.8309357,0.94701916,0.97468096,0.5295386,0.9007972
43,ID137,mase,0.9645358,1.1831098,0.7701299,1.052877,1.1683463,0.5626819,1.1285367
44,ID138,mase,0.32972258,0.38129434,0.31727895,0.40447566,0.43202162,0.2554648,0.46416166
45,ID139,mase,0.42961815,0.5611579,0.39552894,0.43185169,0.5036729,0.39576656,1.0228814
46,ID14,mase,0.62988025,0.64337486,0.5403412,0.691818,0.64800495,0.5702999,1.0370115
47,ID140,mase,1.0429244,1.1625978,0.8863585,1.0620385,1.3550541,0.41811442,0.9473059
48,ID141,mase,0.8984187,1.0216203,0.91611224,0.8383284,1.1205031,0.385667,0.95985085
49,ID142,mase,0.61269623,0.589172,0.52617514,0.6253823,0.586063,1.1589358,0.945696
50,ID143,mase,1.4137886,1.5313042,1.4073461,1.4671756,1.3868461,2.1269908,1.2869787
51,ID144,mase,0.5312018,0.67781323,0.44495228,0.5728068,0.7501793,0.4595059,0.5550793
52,ID145,mase,0.753565,0.6289298,0.7124418,0.7386781,0.7221274,0.4942667,1.4716325
53,ID146,mase,0.06345212,0.058530323,0.04768028,0.07526297,0.051903054,0.11107947,0.11169816
54,ID147,mase,0.16306491,0.23105001,0.14111117,0.16822207,0.24225473,0.13525361,0.19152614
55,ID148,mase,0.38078803,0.37321314,0.34003845,0.40743828,0.3780454,0.8105018,1.0415488
56,ID149,mase,0.69987535,0.8460365,0.68977267,0.62175745,0.9386091,0.41856682,1.43203
57,ID15,mase,1.2497019,1.4748893,1.3461889,1.3362032,1.3382185,2.146863,0.8359333
58,ID150,mase,0.5934557,0.70274144,0.5576996,0.5557366,1.0387282,1.9737381,0.90287274
59,ID151,mase,0.6493811,0.7833051,0.63608015,0.65891266,0.90321165,1.2988781,1.1220636
60,ID152,mase,0.30950218,0.39175087,0.3095161,0.3117994,0.3980093,0.36417556,0.5964835
61,ID153,mase,0.7616673,0.77393067,0.71614254,0.671122,0.92145276,0.44298938,0.5706237
62,ID154,mase,0.63497776,0.60195124,0.60004795,0.64824337,0.5762599,0.86698365,1.073184
63,ID155,mase,0.43577418,0.40274206,0.49565116,0.41456783,0.433103,1.3398327,0.70183736
64,ID156,mase,1.2729846,1.5463064,1.2693032,1.2665564,1.6305397,0.694031,1.1611353
65,ID157,mase,0.801993,0.64789367,0.81708115,0.7501885,0.78024715,1.5563242,0.8996155
66,ID158,mase,1.106043,1.1951559,1.0902952,0.99446666,1.4897883,1.1881782,0.94100225
67,ID159,mase,0.55571216,0.55424064,0.64819044,0.59744585,0.6005297,1.4518721,2.0560734
68,ID16,mase,0.47521117,0.4847211,0.53653014,0.5056203,0.45508233,0.42185685,0.80032974
69,ID160,mase,0.8515313,0.76589036,0.7212557,0.9066253,0.7328595,1.8033565,1.3205936
70,ID161,mase,0.8103252,1.0175102,0.6943708,0.75720114,1.1111104,0.30162007,1.0310191
71,ID162,mase,1.3500217,1.6106566,1.2052623,1.4087903,1.8902398,0.59646964,1.3751084
72,ID163,mase,0.9466937,1.1665697,0.8139008,0.8884868,1.3230568,0.9410895,0.76074207
73,ID164,mase,0.3885065,0.32797623,0.47781834,0.33737218,0.27566305,1.0199245,0.5951906
74,ID165,mase,0.58127475,0.65422505,0.46720028,0.59439534,0.74218136,1.5935037,0.97735006
75,ID166,mase,0.97806,1.001119,0.9075177,0.9375071,1.135945,1.384861,1.241668
76,ID167,mase,1.7663516,1.9531524,1.6843307,1.6343613,2.2574413,0.7492879,0.7987442
77,ID168,mase,1.0267266,1.1507127,0.8789533,0.97826153,1.2242517,0.841956,1.5339135
78,ID169,mase,0.77827126,0.72751975,0.87037677,0.8232645,0.67122126,0.71457034,1.4593621
79,ID17,mase,0.73131996,0.8318376,0.8145826,0.8166191,0.74188143,0.74071455,1.1358653
80,ID170,mase,1.0954586,1.2750871,0.93694836,1.1168826,1.3596178,0.95347327,1.5368916
81,ID171,mase,0.5629583,0.8410079,0.3917799,0.5857412,0.84609073,0.70701605,0.73976487
82,ID172,mase,0.38855132,0.6543018,0.24945576,0.36167622,0.71639836,0.8969716,0.8389651
83,ID173,mase,0.8056842,0.7080717,0.734046,0.7297937,1.024817,2.2384543,1.0020466
84,ID174,mase,0.38025978,0.46959877,0.24314605,0.37795386,0.44437736,0.6626879,1.4367828
85,ID175,mase,2.0731177,2.373244,2.1501198,1.9511069,2.7285788,0.96837384,1.1548647
86,ID176,mase,0.843517,0.6273166,0.9240564,0.7654691,0.7796663,3.1768022,1.2027267
87,ID177,mase,0.7084578,0.89139605,0.5713758,0.55418384,0.9721136,0.68182755,1.1136727
88,ID178,mase,0.2975881,0.35403436,0.3195019,0.43710008,0.28267843,0.3874384,1.1217127
89,ID179,mase,0.6783797,0.7880433,0.5688082,0.66238594,0.9310962,1.9267654,1.5431168
90,ID18,mase,0.6506018,0.62119657,0.5615419,0.66773033,0.7146983,0.42441148,0.7796873
91,ID180,mase,0.9422678,0.79212,1.223551,0.8778651,0.7299053,3.009693,0.99463487
92,ID181,mase,0.53559023,0.7015503,0.55976534,0.5536683,0.9451067,1.7837462,0.82203764
93,ID182,mase,1.3040547e-07,1.3709781e-07,1.6643028e-07,1.4344492e-07,1.1589942e-07,2.2368243e-07,0.0
94,ID183,mase,0.33771795,0.2222668,0.3845098,0.35375205,0.26312116,1.4021629,0.93974406
95,ID184,mase,1.1388845,1.4597104,0.9999312,1.2537265,1.6665044,1.2547553,1.2025986
96,ID185,mase,0.3526618,0.47793627,0.23089594,0.34577134,0.5116914,0.47109294,1.0038869
97,ID186,mase,0.60662544,0.75409126,0.42542884,0.5433937,0.91785854,0.73251045,1.5057918
98,ID187,mase,0.7660646,1.2219573,0.5390111,0.7545692,1.3386991,0.90290827,0.8034799
99,ID188,mase,1.333315,1.2489852,1.4031932,1.3707608,0.81973004,3.0928879,0.71342474
100,ID189,mase,0.4822073,0.47233784,0.556333,0.4468154,0.5721941,1.35658,1.1196634
101,ID19,mase,0.86786807,0.89788735,0.83589447,0.85345525,0.9378562,0.9433297,0.45342293
102,ID190,mase,0.35581473,0.43303496,0.35065296,0.3773026,0.35545632,0.7034113,0.40151197
103,ID191,mase,0.3409067,0.44308808,0.28069162,0.31713262,0.54629064,0.51908773,0.39641482
104,ID192,mase,0.6283141,0.89245474,0.5365458,0.6217345,0.94265354,0.7093188,1.2928282
105,ID193,mase,0.37804514,0.32399833,0.36449784,0.3611855,0.36031803,0.6210615,0.36367765
106,ID194,mase,0.6194488,0.6736456,0.5157925,0.5291526,0.7882287,0.7996379,1.0452313
107,ID195,mase,0.621704,0.79879045,0.46561894,0.7354884,0.85536075,0.79535866,1.056652
108,ID196,mase,0.90696144,1.0430067,0.8032964,0.85696906,1.1771008,0.45014736,0.72119015
109,ID197,mase,0.515347,0.53802377,0.50377816,0.4895624,0.5552276,0.83876556,1.439859
110,ID198,mase,0.646387,0.6282423,0.6165123,0.62978387,0.47862998,1.5248057,0.80610764
111,ID199,mase,0.4562312,0.49115708,0.42222452,0.482748,0.7054023,1.3257459,0.80716705
112,ID2,mase,0.0010767926,0.0057975627,0.0032563119,0.0020358295,0.0025373925,0.0024842538,0.015078185
113,ID20,mase,0.8390308,1.0725561,1.0768366,1.0433568,1.0470475,0.8149029,1.4130143
114,ID200,mase,0.39680612,0.31388038,0.40467945,0.40874955,0.32941905,0.52482563,0.82488734
115,ID201,mase,0.8364067,0.73787487,0.84409887,0.88327897,0.63795984,1.3760633,1.0576973
116,ID202,mase,0.74853325,0.82595897,0.69328946,0.7035413,1.1260976,1.3531184,0.7680581
117,ID203,mase,0.8142887,1.2066617,0.6742251,0.92778224,1.1563516,0.3474382,0.71892136
118,ID204,mase,0.73401713,0.845216,0.5707893,0.7554485,1.0343426,1.2523913,0.9210723
119,ID205,mase,0.74444515,0.7635804,0.67264646,0.56422895,0.96092343,0.6631198,1.5136209
120,ID206,mase,0.5993292,0.70750993,0.56541324,0.6255503,0.799893,0.44839406,0.6032485
121,ID207,mase,0.20137024,0.1894173,0.20733537,0.19197145,0.178979,0.33355543,0.49459055
122,ID208,mase,0.43392795,0.45504,0.26222944,0.4043243,0.4044625,0.3363195,1.4574101
123,ID209,mase,0.6122051,0.6297078,0.4269725,0.6647352,0.5846716,0.5456533,1.8217139
124,ID21,mase,0.5980205,0.60981363,0.6218248,0.56455314,0.5419126,0.79004276,0.9853177
125,ID210,mase,1.0837377,1.0850341,1.1220999,1.0906947,1.0666492,1.1445079,1.8107586
126,ID211,mase,0.6588371,0.81313074,0.5209372,0.6263478,0.82891893,0.5078997,0.88792545
127,ID212,mase,0.47760478,0.6863996,0.35264435,0.51256734,0.7422386,1.1712877,0.6616946
128,ID213,mase,0.42757738,0.5565052,0.46340802,0.49048623,0.5055751,0.3586497,0.7742295
129,ID214,mase,0.3686442,0.3345302,0.3682748,0.39502245,0.35449976,1.0491999,0.96871173
130,ID215,mase,0.3066422,0.5011668,0.24374597,0.38315067,0.4116618,0.38663134,0.36454898
131,ID216,mase,0.8753722,1.1170328,0.7404992,0.8879949,1.2470735,0.45686278,0.5572085
132,ID217,mase,0.46499127,0.5105148,0.44931194,0.4713441,0.53673065,0.23898311,0.38162243
133,ID218,mase,0.27178645,0.23814861,0.348087,0.24832936,0.25983948,0.70398426,0.7019471
134,ID219,mase,0.372192,0.46726936,0.318825,0.44016972,0.4806175,0.31579292,0.5019455
135,ID22,mase,1.1802323,1.1669565,1.1985435,1.1065398,1.0709008,1.7920624,0.9336073
136,ID220,mase,0.66016173,0.7483918,0.54977113,0.64419407,0.8808229,0.54502887,0.73681176
137,ID221,mase,0.81408256,0.972527,0.6862588,0.8963528,0.950921,0.43386176,1.3957078
138,ID222,mase,0.38398305,0.5174264,0.35943818,0.36436272,0.490238,0.18496597,0.58505183
139,ID223,mase,0.6905593,0.8112982,0.6213015,0.6769003,0.7689314,0.38616335,1.3673657
140,ID224,mase,0.36975926,0.38063914,0.33384758,0.36561286,0.38603598,0.3077968,0.7475073
141,ID225,mase,0.302883,0.3680162,0.22785932,0.29365698,0.35177243,0.22906041,0.5759972
142,ID226,mase,0.4885705,0.50909376,0.39529252,0.49690202,0.48620373,0.47439086,0.50007915
143,ID227,mase,0.62736857,0.5161193,0.54527265,0.58671224,0.49977976,0.61451966,1.1175475
144,ID228,mase,0.41636944,0.44951522,0.30259326,0.41273987,0.42360485,0.43621445,0.63678867
145,ID229,mase,1.7275504,1.8439237,1.4878753,1.6989849,2.1482205,1.0913268,1.4082562
146,ID23,mase,1.458025,1.4343144,1.3367348,1.4209044,1.5117881,1.1346929,0.46635622
147,ID230,mase,0.64302194,0.67334247,0.5831003,0.547192,0.8190151,0.88829446,0.8706039
148,ID231,mase,0.7575287,0.8485458,0.5985372,0.71154976,0.7831938,0.56532824,1.0449119
149,ID232,mase,0.7880559,0.7956412,0.91897565,0.8300364,0.5889102,1.9311043,0.85030943
150,ID233,mase,0.7218806,0.8872424,0.6487714,0.6355705,1.0722266,0.548516,0.65106195
151,ID234,mase,0.7017883,0.8491811,0.675039,0.8065589,0.61891675,1.8314104,0.8783831
152,ID235,mase,0.2816086,0.41635847,0.21471183,0.28242025,0.45361662,0.5606838,0.62988037
153,ID236,mase,0.5332187,0.7026759,0.49216753,0.6182215,0.7157184,0.25831807,0.58180934
154,ID237,mase,0.5943401,0.67042106,0.5100955,0.605693,0.68861175,0.5935633,0.63979405
155,ID238,mase,0.79321355,0.71371603,0.8304811,0.80266833,0.73027354,1.1262491,1.061764
156,ID239,mase,0.4416702,0.4386789,0.45043755,0.44834724,0.3938129,0.43298197,1.1878848
157,ID24,mase,0.6236433,0.6314841,0.38198435,0.58104044,0.73823375,0.581509,0.4862995
158,ID240,mase,0.45617902,0.64453125,0.33328423,0.45616028,0.6339163,0.3274422,0.78775513
159,ID241,mase,0.31129536,0.40006724,0.24485672,0.2927869,0.4811285,0.3795888,0.3842572
160,ID242,mase,1.1134818,1.4285662,0.80580527,1.1602129,1.3617613,1.4705771,1.0892637
161,ID243,mase,1.5062226,1.6729356,1.446746,1.4153539,2.021956,0.2797768,0.995888
162,ID244,mase,0.34743056,0.46529618,0.26107422,0.3607269,0.44566512,0.22285074,0.51737213
163,ID245,mase,0.8590541,0.8378214,0.7580466,0.8387521,1.0506786,0.21511199,2.484344
164,ID246,mase,0.784423,0.63536644,0.6749379,0.7534075,0.819114,0.31795305,1.4183849
165,ID247,mase,0.22317265,0.19637229,0.2038528,0.23424527,0.23745094,0.3936432,0.4972494
166,ID248,mase,0.46392512,0.43528405,0.48562086,0.47129655,0.4607528,0.6012435,1.1713046
167,ID249,mase,0.6156689,0.7636922,0.49427286,0.7156985,0.83393586,0.70522285,1.0165219
168,ID25,mase,1.5267658,1.5591253,1.5326777,1.4892073,1.5154443,1.7077664,0.6289827
169,ID250,mase,0.70130956,0.7287734,0.62111974,0.6848195,0.9024273,0.49367788,0.7334962
170,ID251,mase,0.43435362,0.51017183,0.39033753,0.41603273,0.60414416,0.32151946,0.5789507
171,ID252,mase,0.44422862,0.32148895,0.51790214,0.4423952,0.35154882,0.8445089,1.0167322
172,ID253,mase,0.80819243,0.707278,0.5666487,0.84834445,1.0130221,0.9377428,0.8125204
173,ID254,mase,0.32517383,0.4202079,0.20611879,0.30249396,0.45168984,0.52522045,1.0575684
174,ID255,mase,0.6036144,0.6679309,0.4995512,0.6679195,0.86594766,0.39991525,0.6966489
175,ID256,mase,0.59810066,0.5226544,0.68360645,0.5419486,0.451225,1.7020967,0.74193734
176,ID257,mase,0.749865,0.7972566,0.78977364,0.80236644,0.61633915,2.2963455,1.1585226
177,ID258,mase,0.86168617,0.85882616,0.76387167,0.80747086,0.80269504,1.2136422,0.7295237
