,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID1,mase,0.23850821,0.22980382,0.20647267,0.21233408,0.23626022,0.9506614,1.3309436
1,ID10,mase,1.6251842,1.7067177,1.8779182,1.8640366,1.7396933,2.3068798,2.1313908
2,ID100,mase,0.49001458,0.39190397,0.3591843,0.3324685,0.38655812,0.86100656,0.6221448
3,ID101,mase,0.9562324,1.0623975,1.1510307,1.1626837,1.0800623,1.1562449,0.89518845
4,ID102,mase,1.8757538,2.2032363,2.3298824,2.3538218,2.258349,1.5062215,1.1054027
5,ID103,mase,0.5317688,0.61801505,0.70078397,0.7186419,0.65035385,0.5015105,0.7836867
6,ID104,mase,1.0597253,1.1961954,1.1868093,1.2059474,1.197055,1.267854,1.0984397
7,ID105,mase,0.92260695,1.1144022,1.1228349,1.1529433,1.127392,1.1794894,0.99127084
8,ID106,mase,0.5895625,0.7697186,0.7960891,0.8157455,0.78540033,0.78552026,0.4424203
9,ID107,mase,0.97184575,1.0398811,1.0408633,1.0661448,1.044614,1.2063838,1.1263956
10,ID109,mase,1.1815008,1.1572316,1.1880399,1.1601228,1.1406739,0.9573264,1.3157855
11,ID11,mase,0.7170314,0.7794849,0.68555135,0.68622553,0.739622,0.9985189,1.0275849
12,ID110,mase,0.48548585,0.524095,0.5064395,0.5322114,0.5548876,0.8720964,1.0465004
13,ID111,mase,2.502806,2.2659373,2.2103128,2.1764007,2.2189946,2.7037616,3.4543633
14,ID112,mase,0.71985286,0.7948955,0.8108224,0.8337622,0.8126624,1.229022,1.8122567
15,ID113,mase,0.6069203,0.68721527,0.7102948,0.726124,0.7029061,1.1160276,1.6487256
16,ID114,mase,0.8164217,0.8323293,0.84077,0.8413264,0.82891726,2.2005374,2.682198
17,ID115,mase,0.24205431,0.2629897,0.26060098,0.2634743,0.26303667,0.5488073,0.6967881
18,ID116,mase,0.9145535,1.0244758,0.98780125,1.0569572,1.0871183,0.86387897,0.56888604
19,ID117,mase,1.4152265,1.6532732,1.6756693,1.7512255,1.7413921,1.3521589,1.1275458
20,ID118,mase,1.065031,0.85740745,0.80966675,0.78353524,0.8280107,3.5677996,3.9492388
21,ID119,mase,0.7521266,0.8048578,0.814048,0.82309395,0.80979615,1.3698236,2.0553684
22,ID12,mase,1.0011959,1.0448318,1.175956,1.0624285,1.0092416,0.9917985,0.9054125
23,ID120,mase,0.4143091,0.4184359,0.44765562,0.4245038,0.42136803,0.48055524,0.32082865
24,ID121,mase,0.5798789,0.5420304,0.5343017,0.5232365,0.5349937,1.1838387,1.612157
25,ID122,mase,0.7910055,0.8305721,0.8121214,0.8274646,0.8544182,0.86443925,0.72865075
26,ID123,mase,0.5798789,0.5420304,0.5343017,0.5232365,0.5349937,1.1838387,1.612157
27,ID124,mase,0.7689028,0.64359945,0.61907756,0.58469063,0.6092293,2.0053535,2.326119
28,ID125,mase,0.80597764,0.99250597,1.0011857,1.0931573,1.0969512,0.90719175,0.9395154
29,ID126,mase,0.53515834,0.4486202,0.46944597,0.44636968,0.46901992,0.72360814,0.69265115
30,ID127,mase,0.7411294,0.75593805,0.67595637,0.7175607,0.77388155,0.8069236,0.69674885
31,ID128,mase,0.51807135,0.47346866,0.48551366,0.4723703,0.47514862,0.8615911,1.115829
32,ID129,mase,0.35604382,0.3440291,0.35316312,0.34976614,0.34941489,0.5106839,0.47546273
33,ID13,mase,3.5525792,3.1599178,3.4574423,3.2760174,3.3174882,2.3257358,2.4192407
34,ID130,mase,0.4829508,0.5277816,0.4592006,0.5673294,0.5372981,1.2165741,1.0970273
35,ID131,mase,1.1028491,0.9913422,0.94918984,0.91964114,0.9457158,2.053237,1.8247001
36,ID135,mase,1.6149969,1.7558832,1.7027097,1.7650988,1.7858326,3.6161053,3.0528395
37,ID136,mase,0.9825983,0.61680156,0.7110185,1.0684325,0.66016537,0.9569038,0.9531713
38,ID137,mase,1.2866701,1.3196772,1.1771696,1.2181348,1.2863613,1.3394196,0.60115093
39,ID138,mase,0.89593846,1.0950209,1.0763184,1.0429804,1.0102384,1.4244041,1.3264941
40,ID139,mase,0.71170574,0.6353095,0.6525264,0.6219737,0.61350685,0.38906628,0.88450754
41,ID14,mase,1.6374182,1.5385395,1.5392262,1.5226126,1.5575306,2.4483593,3.4552643
42,ID140,mase,1.486299,1.6605291,1.4211847,1.4129518,1.4879235,1.8832833,1.5312324
43,ID141,mase,1.1556073,1.2327762,1.2603587,1.2140685,1.1235967,1.1639994,1.2757688
44,ID142,mase,0.7993077,0.5749252,0.58453107,0.70832163,0.6002234,1.0418215,0.69485575
45,ID143,mase,0.6191702,0.58947253,0.47612825,0.56760573,0.6584327,0.8525517,1.1728123
46,ID144,mase,1.5184857,1.5443013,1.5644561,1.568204,1.5557076,3.3742905,2.8657637
47,ID145,mase,1.7880682,1.9182374,1.9601505,1.9641944,1.9274101,1.4077567,1.3393744
48,ID146,mase,0.8396321,0.8260647,0.8205568,0.8263345,0.8289392,0.84867233,1.3084279
49,ID148,mase,0.622029,0.4344774,0.37921733,0.34386265,0.39794046,1.4012471,1.3203704
50,ID149,mase,0.82838726,1.034765,1.1036739,1.1192338,1.0665026,1.3454688,1.5996094
51,ID15,mase,0.41264233,0.3870827,0.5296482,0.48297176,0.37986168,0.5715145,0.6028308
52,ID150,mase,0.48835352,0.40580407,0.39251366,0.3786538,0.39084366,0.46476963,0.83690864
53,ID151,mase,1.3997991,1.5056406,1.6280723,1.789275,1.6844225,1.7379516,1.1294643
54,ID152,mase,1.2845083,1.3891172,1.2922658,1.3193667,1.3506167,1.6562212,0.8533367
55,ID153,mase,0.6219556,0.6149577,0.6926893,0.66050255,0.60413855,0.7212124,0.9006949
56,ID154,mase,0.47461563,0.4795508,0.53788036,0.49151525,0.44289345,1.1760062,1.3824303
57,ID155,mase,0.14507672,0.14941178,0.19142962,0.16664727,0.16401216,0.35499582,0.46743193
58,ID156,mase,1.1072366,1.1292728,1.2888057,1.2095767,1.1091183,1.8866736,1.9656224
59,ID157,mase,0.39837447,0.3233178,0.31955943,0.28589967,0.30172357,0.8601837,1.4077095
60,ID158,mase,0.75248533,0.7070032,0.7074746,0.6675853,0.65246147,1.1262354,1.3308413
61,ID159,mase,0.9341694,0.94162345,0.7978381,0.9085257,1.0163553,0.7043471,0.52017
62,ID16,mase,1.1760657,1.0503261,1.2116385,1.2086579,1.1630309,0.9433231,0.8226528
63,ID160,mase,1.0276803,1.4127606,1.6153833,1.488126,1.346654,2.3703089,1.7099007
64,ID161,mase,0.77926433,0.7659387,0.932709,0.797518,0.67209154,0.8459409,1.1637948
65,ID162,mase,0.43790367,0.46021488,0.5795378,0.51683295,0.42849252,0.7951681,0.967989
66,ID163,mase,1.5985945,1.6304203,1.5948728,1.6556723,1.6948235,1.4114652,1.0950634
67,ID164,mase,1.2927647,1.5358046,1.6253223,1.6489881,1.5810541,0.9973577,1.2852246
68,ID166,mase,0.56061774,0.542452,0.53046495,0.54356587,0.5761313,0.8342832,0.8550217
69,ID17,mase,0.56166655,0.5606586,0.56541914,0.56054825,0.5493395,0.58277273,0.81046563
