,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,0.60612524,0.6470666,0.7589718,0.57419497,0.6253732,0.97652006,2.0234146
1,ID1,mase,0.852004,0.860409,1.0188278,1.0037264,0.9828151,0.39153132,1.7774295
2,ID10,mase,1.21814,1.1074898,1.1224463,1.2831149,1.2181959,1.140011,1.8304552
3,ID101,mase,3.084812,3.0073328,3.5572567,3.865033,2.6656914,6.8433075,7.6812987
4,ID102,mase,0.7598386,0.5684074,0.6352333,0.7892884,0.60741806,1.4773899,1.6502922
5,ID103,mase,0.8053865,0.6577653,0.8809973,0.7311536,0.62402636,1.1665292,2.0384614
6,ID104,mase,0.88065404,0.7097428,1.1526686,1.0392976,0.73187816,2.63968,3.302027
7,ID105,mase,0.47893646,0.35319093,0.48646256,0.3445342,0.4798925,0.9666024,1.8073021
8,ID107,mase,0.4619526,0.20472257,0.43950537,0.54365844,0.30829212,2.0562313,2.9213116
9,ID108,mase,0.46971688,0.4739503,0.5391035,0.52098984,0.59479487,0.6054135,0.79044586
10,ID109,mase,4.2786283,4.298065,4.3803253,4.343521,4.414823,3.8801777,4.5462613
11,ID110,mase,0.6665157,0.738436,0.98111874,0.636757,0.79951423,0.92784303,0.49122807
12,ID111,mase,1.0317048,1.0574234,0.94710463,1.2361873,1.0283026,1.396077,1.6375946
13,ID112,mase,0.9131946,0.88555723,0.9258886,1.2731589,0.721526,2.3935676,2.897561
14,ID113,mase,0.81877553,0.83491695,0.97566146,0.8160005,0.8099964,1.217792,0.9585925
15,ID114,mase,0.8790109,0.93697745,1.4205248,1.0654969,0.89827836,2.1196764,2.2757685
16,ID115,mase,0.98008776,1.0466135,0.32532224,0.6183953,1.2578344,1.6763175,1.4956268
17,ID116,mase,0.21238266,0.05669834,0.08534287,0.24122107,0.16659155,1.2654738,1.3096288
18,ID117,mase,0.44661713,0.16340894,0.2959501,0.4702152,0.3233026,1.3190018,1.3030236
19,ID118,mase,0.106159076,0.12760606,0.120790415,0.12504949,0.24918199,1.0211872,1.0729381
20,ID119,mase,0.17553659,0.2011663,0.08355183,0.14326946,0.3851879,1.3982075,1.7068273
21,ID12,mase,0.09072629,0.08995389,0.12929566,0.079149686,0.13479747,0.18332659,0.11320755
22,ID120,mase,0.5036573,0.46623626,0.5956456,0.9252382,0.30751693,2.204492,2.8591032
23,ID121,mase,0.16622122,0.11946385,0.28773397,0.20338719,0.29301396,0.87247413,0.43619797
24,ID122,mase,0.265042,0.2678791,0.21138722,0.42542604,0.11737472,1.2685915,1.1764195
25,ID123,mase,0.18246365,0.10037437,0.07824394,0.33549073,0.2558882,1.6581507,2.0938842
26,ID124,mase,0.33643943,0.24050339,0.24856634,0.35206732,0.34967384,0.3604584,0.602953
