,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,0.29696319,0.27620098,0.3091356,0.3232076,0.25502145,0.4078865,1.4801208
1,ID1,mase,1.6122736,1.0485877,0.88210475,0.96542245,1.3161232,0.8849994,0.85665977
2,ID10,mase,0.38368863,0.3611292,0.32801783,0.32309026,0.308272,0.4160387,1.2756326
3,ID100,mase,1.0611026,0.9853339,0.9556041,0.82294834,0.9103283,4.0798144,0.6960734
4,ID101,mase,3.5215187,3.300213,2.8726053,3.0325615,3.1266167,3.7982335,0.8454997
5,ID102,mase,0.7751909,0.85815954,0.53515774,0.9557217,0.75228095,0.6704972,0.63033676
6,ID103,mase,1.1915271,0.99807656,0.7810803,0.8361385,0.94231045,1.8640602,1.2001619
7,ID104,mase,1.3204606,1.1614182,1.1578879,1.1806114,1.165508,1.1906134,1.176647
8,ID105,mase,2.1048326,1.8386183,1.5732334,1.7469567,1.8072788,1.8764101,0.6367137
9,ID106,mase,1.4883201,1.5627846,1.3015034,1.2683239,1.3603576,1.6984481,0.8448366
10,ID107,mase,1.6782106,1.5773059,1.3854791,1.3398881,1.63344,0.9478673,0.7248718
11,ID108,mase,1.4254148,1.0274006,0.7064831,0.7808592,1.1895379,0.4618802,0.4424585
12,ID109,mase,0.9185365,0.8890618,0.65345037,1.1101559,0.94645876,0.95962834,0.9406371
13,ID11,mase,3.7790654,3.1129262,2.871457,3.1548133,3.6362214,1.2080374,1.1334933
14,ID110,mase,1.1446595,1.01116,0.82792544,0.92341167,1.0428604,1.4595398,0.49041444
15,ID12,mase,1.5571781,1.3029615,1.153086,1.207117,1.4087399,0.9671324,0.8756059
16,ID13,mase,1.3578459,0.93833554,0.5456517,0.70702755,1.0103889,0.65617514,0.94726175
17,ID14,mase,1.1221635,0.80147344,0.63376963,0.6981185,0.8746086,0.5638561,1.3461528
18,ID15,mase,1.2392551,0.80265284,0.7281329,0.7988502,0.90932524,0.87607926,1.7632056
19,ID16,mase,4.6284375,3.9733655,3.6258903,3.8281841,4.156266,2.6718435,0.9254111
20,ID17,mase,2.4143643,2.0072715,1.8302239,1.9844217,2.210967,0.60135734,1.0931104
21,ID18,mase,1.3326137,1.003043,0.86005735,0.90505826,1.0617279,0.78208196,0.9316978
22,ID19,mase,2.1017106,1.3622947,1.0831226,1.2105561,1.7123233,0.749424,0.822106
23,ID2,mase,0.59329844,0.44642156,0.40213785,0.43628433,0.5014196,0.4989235,1.379857
24,ID20,mase,1.8254166,1.4396527,1.3535907,1.3817291,1.6479423,1.6569022,1.9112674
25,ID21,mase,1.2679611,0.9514719,0.68206996,0.71782,1.0634707,0.9122005,0.94997334
26,ID22,mase,1.1451253,1.0111089,0.81616855,0.9036416,0.924939,0.75693125,1.0707246
27,ID23,mase,2.962292,2.9334097,2.5475457,2.5335784,2.6694853,2.7396965,0.7069766
28,ID24,mase,0.687297,0.72541237,0.88675183,0.8187098,0.7393858,1.2798792,2.2503514
29,ID25,mase,0.21030565,0.13766162,0.12476991,0.14184514,0.16338903,0.18722057,0.41276246
30,ID26,mase,0.93416846,0.80643547,0.83381176,0.6788693,0.77612174,0.9788964,0.6217622
31,ID27,mase,1.4619745,1.0552771,0.9898325,0.9430266,1.2393811,0.63034725,0.41522777
32,ID28,mase,1.150932,0.8055716,0.7223414,0.8079657,0.9323939,0.79985553,1.6253959
33,ID29,mase,0.5611298,0.50034934,0.4669746,0.37131044,0.59375536,0.16934788,0.9069904
34,ID3,mase,0.84689605,0.6435056,0.6239672,0.6083723,0.67228925,1.3074119,0.7753314
35,ID30,mase,1.0360094,0.75504994,0.6358276,0.6083408,0.98413146,0.5696805,0.4570377
36,ID31,mase,0.7260603,0.5797696,0.49358884,0.5195486,0.6371893,0.4548328,0.5327824
37,ID32,mase,1.1510675,0.90158683,0.75973296,0.85726005,0.9324633,1.1313902,0.7305889
38,ID33,mase,1.0915954,1.2107104,1.3382461,1.2118114,1.1600477,2.246413,2.0401585
39,ID34,mase,2.194384,1.5873905,1.4002628,1.6058383,2.0308573,0.5417484,0.8056339
40,ID35,mase,2.2533665,1.8595717,1.6206582,1.7278007,2.0116313,0.9716691,0.75840175
41,ID36,mase,3.4461834,3.458674,2.8537962,2.2597752,3.314098,2.1823542,1.2619466
42,ID37,mase,0.47469488,0.46172485,0.4813491,0.5024691,0.4772497,1.3306391,0.67608553
43,ID38,mase,1.0041478,0.7844094,0.71973807,0.7279778,0.8588218,0.7674443,0.90599734
44,ID39,mase,1.2157168,0.85065293,0.58643764,0.67559326,0.93827045,0.48263645,1.2229875
45,ID4,mase,0.49058798,0.31950048,0.30334207,0.29941756,0.33538094,0.62400746,1.1389445
