,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID1,mase,0.17565095,0.16839823,0.22299011,0.20290947,0.16913164,0.715664,1.3309436
1,ID10,mase,1.4147043,1.5819668,1.6541497,1.5209785,1.4177034,2.0309186,2.1313908
2,ID100,mase,0.68444365,0.77427715,0.55097264,0.49813324,0.5136215,0.38820097,0.6221448
3,ID101,mase,0.7993136,0.9057957,0.9079559,0.7886107,0.74486583,1.1216035,0.89518845
4,ID102,mase,1.0029298,1.0813358,1.0387734,1.3590328,1.0538305,1.1545821,1.1054027
5,ID103,mase,0.5938241,0.6244784,0.65092623,0.4625947,0.61556435,0.92364997,0.7836867
6,ID104,mase,0.735481,0.80402774,0.9033331,0.81722456,0.8547191,1.2353969,1.0984397
7,ID105,mase,0.67012316,0.67936087,0.7537624,0.63903,0.77017504,1.1270027,0.99127084
8,ID106,mase,0.27701646,0.30761015,0.39926377,0.27747864,0.31653282,0.50664145,0.4424203
9,ID107,mase,0.9968544,0.9158138,0.77578586,0.9100862,1.0173849,1.1221417,1.1263956
10,ID109,mase,1.141443,1.109527,1.0529495,1.1499158,1.114723,1.0929756,1.3157855
11,ID11,mase,0.7685084,0.76785696,0.80649346,0.679975,0.7721309,0.7469217,1.0275849
12,ID110,mase,0.6470329,0.6388398,0.58457726,0.6252555,0.6351053,0.33024657,1.0465004
13,ID111,mase,3.3974917,3.1441035,3.2290869,3.1263528,3.071009,3.2528315,3.4543633
14,ID112,mase,0.64816254,0.74570775,0.6255244,0.7152005,0.66762686,1.1649293,1.8122567
15,ID113,mase,0.5230647,0.63350487,0.49750745,0.59702975,0.51051384,1.0602639,1.6487256
16,ID114,mase,0.68954736,0.78041154,0.7292497,0.79451627,0.695333,1.5269275,2.682198
17,ID115,mase,0.20666835,0.24092036,0.19753002,0.21990551,0.23511122,0.39430264,0.6967881
18,ID116,mase,1.0470736,1.1022996,1.0603396,1.0698111,1.0214115,0.6537102,0.56888604
19,ID117,mase,1.5991328,1.6357119,1.3102766,1.7236599,1.49609,0.9442172,1.1275458
20,ID118,mase,0.7320024,0.97653925,1.5694735,0.9734382,0.7891454,2.2842762,3.9492388
21,ID119,mase,0.57231045,0.71592945,0.59944075,0.6915416,0.54675996,1.4017314,2.0553684
22,ID12,mase,0.8486218,0.8272188,0.9229919,0.9133588,0.92132014,0.9340255,0.9054125
23,ID120,mase,0.20831111,0.30292723,0.33894628,0.3254399,0.2862792,0.45707953,0.32082865
24,ID121,mase,0.34527603,0.45422515,0.45875633,0.48631364,0.37507913,1.0987831,1.612157
25,ID122,mase,0.6779406,0.7650353,0.7655901,0.7372451,0.83107984,0.7519292,0.72865075
26,ID123,mase,0.34527603,0.45422515,0.45875633,0.48631364,0.37507913,1.0987831,1.612157
27,ID124,mase,0.44377258,0.5007603,0.7139722,0.508785,0.4675188,1.5540532,2.326119
28,ID125,mase,1.0318948,1.1388754,0.90832466,1.0521662,1.0112579,0.85206807,0.9395154
29,ID126,mase,0.40364984,0.43804735,0.41782764,0.3802996,0.4545221,0.5905693,0.69265115
30,ID127,mase,0.74078065,0.78107476,0.78165543,0.8088878,0.7665446,0.6789652,0.69674885
31,ID128,mase,0.32559264,0.41436043,0.39248174,0.43796816,0.38857085,0.8206199,1.115829
32,ID129,mase,0.27879775,0.2766003,0.2804539,0.32858062,0.35885897,0.35288113,0.47546273
33,ID13,mase,3.3821092,3.3584065,3.3345065,3.4939482,3.5134354,3.0778,2.4192407
34,ID130,mase,0.488841,0.49979645,0.5480544,0.50129974,0.4821609,0.6080856,1.0970273
35,ID131,mase,1.0409282,1.0492893,1.1526306,1.244782,1.1544056,1.7604426,1.8247001
36,ID135,mase,1.4837462,1.579808,1.640252,1.20834,1.1773905,1.7156985,3.0528395
37,ID136,mase,0.7165104,0.8011163,0.9083269,0.7823852,0.85725766,1.3006763,0.9531713
38,ID137,mase,1.5161409,1.3497881,1.3400009,1.5114939,1.5198457,1.0928987,0.60115093
39,ID138,mase,0.60197395,0.7374657,0.83145535,0.8783251,0.68982875,1.4146289,1.3264941
40,ID139,mase,0.8755047,0.7646735,0.7312055,0.78894836,0.8865438,0.70988953,0.88450754
41,ID14,mase,1.6286637,1.5714713,1.5964497,1.575861,1.6083286,1.6165036,3.4552643
42,ID140,mase,1.7523414,1.7322267,1.6576949,1.5783632,1.382955,1.641599,1.5312324
43,ID141,mase,0.79089653,0.9896882,0.80267745,0.89231604,0.92600983,1.3546202,1.2757688
44,ID142,mase,0.6110612,0.67787665,0.7917559,0.68039805,0.6802326,1.1223799,0.69485575
45,ID143,mase,0.97943866,0.8115611,0.7425592,0.93490624,0.9988191,0.35228774,1.1728123
46,ID144,mase,1.1472112,1.2114191,1.3463575,0.89342016,0.85227185,1.576127,2.8657637
