,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.5126204,0.4898158,0.5634266,0.5137195,0.48790014,0.5192241,1.2777038,2.0234146
1,ID1,mase,0.9633219,0.76242834,0.97998804,0.910027,0.6370344,0.6107053,1.0144277,1.7774295
2,ID10,mase,1.4516271,1.3932139,1.4283642,1.3560684,1.325799,1.367726,1.1303016,1.8304552
3,ID101,mase,1.2587044,0.6333984,0.8880236,0.7474029,0.26469994,0.2377499,6.12732,7.6812987
4,ID102,mase,0.47947732,0.579538,0.56137824,0.6235633,0.5879665,0.8149288,1.1030555,1.6502922
5,ID103,mase,0.42137793,0.3731977,0.3450611,0.35480088,0.32927528,0.3121502,0.8452084,2.0384614
6,ID104,mase,0.3627921,0.37990016,0.3881555,0.3719232,0.32383314,0.29843804,2.4407103,3.302027
7,ID105,mase,0.22117783,0.17758825,0.19223343,0.17844816,0.06422238,0.1426412,0.5013919,1.8073021
8,ID107,mase,1.2311491,1.3092822,1.2562506,1.1989061,1.0486401,1.1006423,1.5210646,2.9213116
9,ID108,mase,1.1572236,0.72266495,0.8651529,0.6100498,0.53682524,0.41274762,0.62542105,0.79044586
10,ID109,mase,4.4736075,4.415169,4.490808,4.3855987,4.3112884,4.1767244,4.0736594,4.5462613
11,ID110,mase,0.42324883,0.4307971,0.13481541,0.21180537,0.7138937,0.9046002,0.9521364,0.49122807
12,ID111,mase,0.57659996,0.5318059,0.5020094,0.52830255,0.5656891,0.6233811,1.2387179,1.6375946
13,ID112,mase,0.5550108,0.443271,0.48014006,0.4575993,0.6814037,0.64913684,1.9476935,2.897561
14,ID113,mase,0.7961629,0.8121756,0.7859386,0.8277054,0.795881,0.81145036,1.1097804,0.9585925
15,ID114,mase,1.667936,1.148378,1.3230717,1.2889447,1.1580151,0.9750439,2.0694146,2.2757685
16,ID115,mase,1.5629033,1.7258484,1.5942262,1.7903695,1.8818811,1.9758983,1.4059889,1.4956268
17,ID116,mase,0.116125755,0.05872332,0.06769514,0.07465446,0.083508365,0.07708874,0.8525953,1.3096288
18,ID117,mase,0.2656024,0.26407063,0.26779756,0.3017583,0.30204013,0.29089263,0.8927939,1.3030236
19,ID118,mase,0.17147991,0.23619911,0.20294511,0.18418859,0.21290447,0.21981366,0.69641453,1.0729381
20,ID119,mase,0.69915587,0.7581826,0.7723199,0.67441547,0.63514787,0.65243196,1.0487369,1.7068273
21,ID12,mase,0.061941225,0.051840812,0.05486131,0.05497532,0.05504886,0.053531945,0.06355068,0.11320755
22,ID120,mase,0.07640563,0.262507,0.19824977,0.23207738,0.17872606,0.12904496,1.7172797,2.8591032
23,ID121,mase,0.40350482,0.46913946,0.4290156,0.4753632,0.49190596,0.500458,0.4430314,0.43619797
24,ID122,mase,0.42755386,0.41074464,0.40513018,0.43912593,0.47611797,0.4646096,0.92719245,1.1764195
25,ID123,mase,0.4906681,0.637807,0.5828839,0.5690972,0.49440458,0.52045244,1.1939489,2.0938842
26,ID124,mase,0.28837752,0.35426554,0.3464401,0.35556766,0.432321,0.4141452,0.33449608,0.602953
27,ID125,mase,0.8866739,0.35351303,0.5399137,0.3792185,0.21975686,0.19298188,0.87024325,0.16764669
28,ID126,mase,1.5115432,1.4585658,1.4593903,1.415439,1.4095492,1.455483,2.4716108,2.4829545
