,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
0,ID0,mase,0.6116638,0.6209311,0.4956149,0.86516565,2.0234146
1,ID1,mase,0.93392295,1.0618786,1.0395893,1.0987624,1.7774295
2,ID10,mase,1.5706285,1.4392866,1.358688,1.470601,1.8304552
3,ID101,mase,1.3677837,1.318447,1.3542666,1.4324923,7.6812987
4,ID102,mase,0.5679342,0.61158025,0.527172,0.55205876,1.6502922
5,ID103,mase,0.51434094,0.8509052,0.66199553,0.85111296,2.0384614
6,ID104,mase,0.2690884,0.33927155,0.37800947,0.31510738,3.302027
7,ID105,mase,0.15301107,0.34702367,0.55336744,0.648829,1.8073021
8,ID107,mase,1.3783407,1.5226754,1.515908,1.5949095,2.9213116
9,ID108,mase,0.90897787,0.92367077,0.9542351,0.9361721,0.79044586
10,ID109,mase,4.573489,4.5845895,4.601759,4.637241,4.5462613
11,ID110,mase,0.2524481,0.53252155,0.41423464,0.3219891,0.49122807
12,ID111,mase,0.56261927,0.57433903,0.61321646,0.6799608,1.6375946
13,ID112,mase,0.41616586,0.4175646,0.37426937,0.19086307,2.897561
14,ID113,mase,0.8465937,0.80478287,0.74034554,0.87171245,0.9585925
15,ID114,mase,0.9522653,1.3064507,0.88746434,1.3920473,2.2757685
16,ID115,mase,1.1987522,1.3452586,1.3492284,1.2806523,1.4956268
17,ID116,mase,0.08243692,0.1530879,0.14984974,0.17627314,1.3096288
18,ID117,mase,0.25099847,0.25496453,0.25506037,0.2374138,1.3030236
19,ID118,mase,0.18034405,0.22664624,0.23050207,0.22725917,1.0729381
20,ID119,mase,0.6896329,0.7205251,0.7390325,0.7837012,1.7068273
21,ID12,mase,0.050273556,0.043575402,0.04903846,0.03621219,0.11320755
22,ID120,mase,0.23153572,0.31523988,0.4606074,0.5211847,2.8591032
23,ID121,mase,0.4647697,0.40714443,0.42439127,0.44141835,0.43619797
24,ID122,mase,0.4011261,0.38591054,0.40923297,0.37101263,1.1764195
25,ID123,mase,0.5975145,0.73441947,0.7236653,0.76631165,2.0938842
26,ID124,mase,0.33312964,0.3880336,0.346549,0.31067425,0.602953
27,ID125,mase,0.43664765,0.6084302,0.6626887,0.5857894,0.16764669
28,ID126,mase,1.4720255,1.5122589,1.5378729,1.5934703,2.4829545
29,ID127,mase,0.39538944,0.37312827,0.37089664,0.39737877,2.4201362
30,ID128,mase,0.049271997,0.096449696,0.09096341,0.123121254,2.2648525
31,ID129,mase,0.3075263,0.45857596,0.4821563,0.5096059,3.544681
32,ID13,mase,1.1956998,1.213705,1.2495449,1.1385899,1.4522916
33,ID130,mase,0.14591111,0.16111593,0.16927294,0.13513383,2.8455555
34,ID131,mase,0.01391216,0.0050810976,0.012529231,0.024150753,1.3034129
35,ID132,mase,0.1539765,0.16428183,0.1840483,0.18899138,1.029176
36,ID133,mase,0.7536423,0.7384942,0.7627368,0.83784837,1.7207462
37,ID134,mase,1.551472,1.7199247,1.8083396,1.9408145,3.1866133
38,ID135,mase,0.076358125,0.0042945175,0.2204913,0.06906157,0.8353081
39,ID136,mase,0.53468865,0.53797483,0.4984766,0.5540134,0.35698783
40,ID137,mase,1.0025651,1.2316638,0.94835716,1.0241423,1.0893016
41,ID138,mase,0.3226275,0.30138424,0.30260903,0.28545216,2.3620977
42,ID139,mase,1.5231631,1.5102863,1.4921958,1.5223769,1.3930285
43,ID14,mase,0.82144815,0.7372435,0.79540336,0.643007,0.4299994
44,ID140,mase,2.8657002,2.6022186,3.083689,2.6250355,0.5714286
45,ID141,mase,2.0283902,2.4804273,2.81262,2.8115513,1.0826771
46,ID142,mase,0.18396962,0.17392294,0.20915699,0.1393701,0.8503401
47,ID143,mase,0.97000754,1.03206,1.038244,1.1025767,1.574074
48,ID144,mase,1.5936074,1.5267053,1.6830062,1.7587408,1.1627907
49,ID145,mase,0.34210983,0.35104302,0.32072657,0.38810423,0.65575624
50,ID146,mase,0.5272854,0.5305659,0.49113593,0.54657674,0.3498916
51,ID147,mase,0.46091697,0.44110996,0.43922076,0.44882244,0.6132707
52,ID148,mase,0.11021505,0.06433519,0.11445468,0.06454022,0.15455092
53,ID149,mase,0.09042744,0.13002017,0.14133316,0.07374019,0.13126473
54,ID15,mase,1.4233735,1.8247327,1.5696381,1.6961353,1.8256366
55,ID150,mase,0.20647365,0.12889588,0.2033393,0.12958089,0.20503615
56,ID151,mase,0.2221177,0.18674156,0.21673973,0.19020152,0.14474365
57,ID152,mase,0.4405845,0.41715154,0.40443924,0.44646847,0.46729
58,ID153,mase,1.1136662,0.6025443,1.7555212,0.5504367,2.8177965
59,ID154,mase,0.37234488,0.6711619,1.0665166,0.78495693,1.3285024
60,ID155,mase,0.6725475,1.2647812,1.0975285,1.3925378,0.8336815
61,ID156,mase,1.4720255,1.5122589,1.5378729,1.5934703,2.4829545
62,ID157,mase,1.1923593,1.078801,1.1606463,1.2440611,1.7381536
63,ID158,mase,1.0969671,1.0523432,1.1224271,1.168586,0.95053196
64,ID159,mase,0.08660901,0.11898323,0.13162547,0.15455036,2.0414534
65,ID16,mase,1.7992768,1.8981606,1.7289096,1.9205998,2.4200675
66,ID160,mase,1.0302579,1.2606825,1.0873193,1.1570288,0.7446038
67,ID161,mase,0.7521121,0.7345914,0.8400999,0.9041357,1.7895588
68,ID162,mase,1.2539953,1.4329424,1.9458458,1.5436332,0.75376886
69,ID163,mase,1.6666001,1.6446465,2.072043,1.775525,0.3829787
70,ID164,mase,2.7213979,2.6237116,2.6488001,2.7109356,3.0069637
71,ID165,mase,0.2950434,0.3240716,0.26654014,0.3393263,0.3997599
72,ID166,mase,2.076226,2.0010266,2.0143123,1.9766918,1.9655173
73,ID167,mase,1.8737674,1.8645713,1.8368145,1.8440963,3.536042
74,ID168,mase,0.21900976,0.22069474,0.2063008,0.18217525,1.2620192
75,ID17,mase,1.3537892,1.4459257,1.4497372,1.4317787,0.93955517
76,ID173,mase,0.3769826,0.37111515,0.37240323,0.38409555,0.38770822
77,ID174,mase,0.16963272,0.166978,0.15920717,0.14616647,1.0432191
78,ID175,mase,0.22011657,0.24117728,0.22247301,0.24259087,0.27427596
79,ID176,mase,2.7585053,2.7106345,2.7646608,2.8327608,3.3308551
80,ID177,mase,0.37594354,0.53394395,0.41106132,0.3790686,0.9008314
81,ID178,mase,0.04790761,0.08364498,0.085741736,0.049543258,0.07614206
82,ID179,mase,0.1607493,0.04676674,0.0854184,0.047195166,0.5786026
83,ID18,mase,1.2931454,1.2773021,1.2232311,1.3168303,1.5177279
84,ID180,mase,0.15528981,0.09517389,0.026963633,0.08165615,1.535254
85,ID181,mase,1.9906397,1.8233197,1.9099231,1.4255276,5.72165
86,ID182,mase,0.06413815,0.11400748,0.437478,0.4015116,2.7380283
87,ID183,mase,0.24861939,0.5369176,0.3537012,0.69660205,2.999998
88,ID184,mase,0.40443358,0.1314644,0.45337903,0.19352537,2.8151262
89,ID185,mase,1.5364344,1.0889417,1.3791076,1.3532276,2.4489794
90,ID186,mase,0.28718403,0.25970733,0.27346474,0.23670197,0.35714287
91,ID187,mase,0.9750188,0.68839914,0.70356417,0.67409796,0.8241758
92,ID188,mase,4.193095,3.9580958,4.4143357,3.8047943,0.95864654
