,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,ID0,mase,0.4687661,0.41586906,0.6964578,0.3653299,0.38338238,0.49517536,1.2558147,2.0234146
1,ID1,mase,1.0054873,0.80924577,1.1542302,0.8065801,0.66184664,0.5237411,0.968967,1.7774295
2,ID10,mase,1.3549522,1.3133267,1.3322705,1.3067683,1.2915066,1.2805073,1.1354371,1.8304552
3,ID101,mase,1.2484361,0.76748866,0.8884466,0.9415186,0.18382181,0.2063307,5.928345,7.6812987
4,ID102,mase,0.5479939,0.69603384,0.6917932,0.6885592,0.70979404,0.8192979,0.96789557,1.6502922
5,ID103,mase,0.45935294,0.49814957,0.52191514,0.37552056,0.37299523,0.29050562,0.981396,2.0384614
6,ID104,mase,0.33628908,0.35907534,0.3637447,0.3651271,0.34538287,0.29408154,2.26724,3.302027
7,ID105,mase,0.13243093,0.19284013,0.26275846,0.06192762,0.014123727,0.081694655,0.65736455,1.8073021
8,ID107,mase,1.2863338,1.3223847,1.3633012,1.1279064,1.0658841,1.0932009,1.3881879,2.9213116
9,ID108,mase,0.9193311,0.73960966,0.8732353,0.5586584,0.5603921,0.47528422,0.608286,0.79044586
10,ID109,mase,4.581666,4.4646487,4.5555167,4.3504457,4.352762,4.2758894,4.053104,4.5462613
11,ID110,mase,0.55014867,0.5562305,0.26759258,0.5840176,0.80910933,0.91444826,0.919409,0.49122807
12,ID111,mase,0.57180434,0.73881537,0.78143823,0.619564,0.7005758,0.70012,1.1739378,1.6375946
13,ID112,mase,0.4367001,0.47904196,0.43567437,0.54461586,0.6780813,0.6833949,1.8560925,2.897561
14,ID113,mase,0.77369034,0.7900506,0.7639459,0.75220656,0.7557536,0.8579374,1.1251296,0.9585925
15,ID114,mase,1.4428003,1.1009189,1.2468351,1.0542817,0.8988246,1.0333177,2.0351326,2.2757685
16,ID115,mase,1.4636335,1.6317447,1.628742,1.6023675,1.8105124,1.628993,1.3828144,1.4956268
17,ID116,mase,0.08782704,0.058209706,0.08770345,0.056206267,0.071957126,0.07497192,0.8036919,1.3096288
18,ID117,mase,0.26520476,0.27788022,0.26750526,0.29096097,0.2996865,0.3002341,0.8581299,1.3030236
19,ID118,mase,0.16392955,0.2258817,0.21628365,0.18179573,0.22389288,0.20634045,0.6604177,1.0729381
20,ID119,mase,0.6996691,0.7275064,0.7450219,0.61799324,0.6331264,0.6240952,0.94240564,1.7068273
21,ID12,mase,0.045892105,0.04669239,0.04730019,0.04893975,0.053632136,0.04883043,0.071145855,0.11320755
22,ID120,mase,0.19162135,0.21013571,0.2561522,0.13532716,0.1710548,0.16420439,1.6186936,2.8591032
23,ID121,mase,0.40690228,0.4850179,0.46359128,0.4844082,0.5026174,0.5176117,0.43939924,0.43619797
24,ID122,mase,0.4218773,0.42383716,0.41863182,0.46064213,0.48421928,0.48254997,0.8881196,1.1764195
25,ID123,mase,0.5545783,0.62153226,0.63555354,0.4947368,0.4792636,0.48233843,1.1155438,2.0938842
26,ID124,mase,0.37353697,0.3453065,0.30879757,0.39854357,0.43396816,0.39335993,0.33042777,0.602953
27,ID125,mase,0.6743599,0.37407118,0.54805505,0.26103047,0.19858949,0.16887356,0.8457159,0.16764669
28,ID126,mase,1.4721705,1.4723929,1.4974691,1.4792726,1.4322542,1.5333809,2.456675,2.4829545
29,ID127,mase,0.422913,0.30201757,0.33167502,0.34927735,0.23711506,0.23768467,1.8266727,2.4201362
30,ID128,mase,0.035096478,0.07474957,0.062716074,0.14840059,0.18831524,0.18963313,1.4514278,2.2648525
31,ID129,mase,0.28408554,0.38082626,0.38432604,0.21063362,0.23495029,0.21743774,2.2663684,3.544681
32,ID13,mase,1.1947652,1.1942691,1.200597,1.1180022,1.2139503,1.1246744,1.049888,1.4522916
33,ID130,mase,0.16683885,0.1643494,0.1641395,0.18900807,0.18269567,0.1726732,2.0135086,2.8455555
