,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,1.7964268,1.5953971,1.9027715,1.5476103,1.6819824,1.2458906,1.6523423
1,ID1,mase,0.6962585,1.0217065,1.0030707,0.49834326,0.6313465,0.8419678,0.6560234
2,ID10,mase,1.5576017,2.0236363,1.9900734,0.6454093,1.4177736,1.7237628,0.50213987
3,ID100,mase,0.80626357,0.84795433,0.8105789,1.7465228,0.973349,1.2870139,1.322672
4,ID101,mase,0.7781242,1.0956527,1.0075377,1.3544602,0.8767436,1.4982235,0.85678566
5,ID102,mase,0.69260216,0.31822687,0.37501484,1.3751953,0.9640104,0.6874658,0.59913737
6,ID103,mase,1.337694,1.0928633,1.0004967,1.1599321,1.3141897,0.80922633,1.0389642
7,ID104,mase,1.0844373,1.0797176,1.32931,1.1474382,1.0864457,1.3859702,1.5041574
8,ID105,mase,0.5410619,0.55708927,0.59888434,0.60472304,0.5516765,0.83078957,0.49615568
9,ID106,mase,0.4995154,0.5001069,0.5201514,0.512518,0.50140524,0.5256471,0.49196902
10,ID107,mase,0.5422727,0.4945312,0.5020619,0.610165,0.55292565,0.50968665,0.9829676
11,ID108,mase,0.7953302,0.50592846,0.57455343,0.9706865,0.8084678,0.3406645,0.57120776
12,ID109,mase,0.88536066,1.4889957,1.3672615,0.3814257,0.615667,0.8312686,0.7931279
13,ID11,mase,0.7162753,0.46939233,0.6634233,1.0189575,0.8015298,0.536627,1.0710356
14,ID110,mase,0.77634925,0.4789973,0.53308827,1.2709509,0.9539141,0.6614427,0.89296454
15,ID111,mase,0.37712544,0.507311,0.39973843,0.40009764,0.42937288,0.7652905,0.3119252
16,ID112,mase,0.94008034,0.8823775,0.78060853,0.9139242,0.97592217,0.8620241,0.60887223
17,ID113,mase,0.65507424,0.65912014,0.6746318,0.736719,0.661655,0.94749266,0.6879804
18,ID114,mase,0.68410885,0.4910211,0.29067162,0.3083228,0.5290057,0.49893492,0.60522294
19,ID115,mase,0.9005017,1.01898,1.6571147,1.0708852,1.1311938,2.247616,0.9737069
20,ID116,mase,0.20330721,0.25640675,0.24014682,0.33391765,0.17438392,0.46432918,0.4190104
21,ID117,mase,0.37662792,0.32772446,0.4508227,0.63438904,0.5260465,0.5171807,0.17705764
22,ID118,mase,0.7093195,0.24782933,0.2752859,1.3586767,0.95059097,0.41562685,0.756469
