,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID1,mase,0.17565095,0.22682898,0.2724759,0.25194308,0.3135601,0.8150586,1.3309436
1,ID10,mase,1.4147043,1.4913778,1.7576675,1.4391835,1.6166439,2.1510186,2.1313908
2,ID100,mase,0.68444365,1.0263911,0.6181775,1.3293023,0.809202,0.8941058,0.6221448
3,ID101,mase,0.7993136,0.79691684,0.94073385,0.7653116,0.7748273,1.2694343,0.89518845
4,ID102,mase,1.0029298,1.1396105,0.9843797,1.1827581,1.2321296,1.2956315,1.1054027
5,ID103,mase,0.5938241,0.61331964,0.54163724,0.5076839,0.5810762,0.8936836,0.7836867
6,ID104,mase,0.735481,0.8691365,1.1476675,0.9465642,1.0161473,1.2041262,1.0984397
7,ID105,mase,0.67012316,0.7195259,1.0341188,0.7979404,0.8713066,1.0851375,0.99127084
8,ID106,mase,0.27701646,0.24524194,0.5724157,0.31361014,0.46914238,0.50811774,0.4424203
9,ID107,mase,0.9968544,0.90758497,0.99340117,0.7447922,0.8579603,1.0642906,1.1263956
10,ID109,mase,1.141443,1.109725,1.1241168,1.0228935,1.0714746,1.0984825,1.3157855
11,ID11,mase,0.7685084,0.8331781,0.79466647,0.9512097,0.79081416,0.73836845,1.0275849
12,ID110,mase,0.6470329,0.47655034,0.5489608,0.6257506,0.5415325,0.49971607,1.0465004
13,ID111,mase,3.3974917,3.2589056,2.9575796,2.8873434,3.0510774,3.3220959,3.4543633
14,ID112,mase,0.64816254,0.6250566,0.72611135,0.62770444,0.67799306,1.1121871,1.8122567
15,ID113,mase,0.5230647,0.50545466,0.5994638,0.51696914,0.55321276,1.0131578,1.6487256
16,ID114,mase,0.68954736,0.796605,0.88992035,0.78713894,1.0071211,2.045703,2.682198
17,ID115,mase,0.20666835,0.22938277,0.2504963,0.22371037,0.23526552,0.39529037,0.6967881
18,ID116,mase,1.0470736,1.0216252,1.0550148,1.1028832,0.90503335,0.8337903,0.56888604
19,ID117,mase,1.5991328,1.3680726,1.2015123,1.4181191,1.1293708,0.8992488,1.1275458
20,ID118,mase,0.7320024,1.2757367,1.5301117,1.4710134,1.7296256,3.254812,3.9492388
21,ID119,mase,0.57231045,0.622028,0.7672684,0.6068529,0.73603654,1.2658242,2.0553684
22,ID12,mase,0.8486218,0.7264763,0.8989113,0.6685536,0.8610791,0.8881081,0.9054125
23,ID120,mase,0.20831111,0.35645854,0.41728926,0.4000118,0.40036747,0.41484228,0.32082865
24,ID121,mase,0.34527603,0.48495027,0.5721553,0.45928332,0.5851263,0.99908483,1.612157
25,ID122,mase,0.6779406,0.8108294,0.8680805,0.7644192,0.71500176,0.72552246,0.72865075
26,ID123,mase,0.34527603,0.48495027,0.5721553,0.45928332,0.5851263,0.99908483,1.612157
27,ID124,mase,0.44377258,0.7586349,0.81856465,0.71105754,0.8831235,1.7655619,2.326119
28,ID125,mase,1.0318948,0.8628998,0.88653696,0.911744,0.7630175,0.72392213,0.9395154
29,ID126,mase,0.40364984,0.4544338,0.48997602,0.5132181,0.5083736,0.539716,0.69265115
30,ID127,mase,0.74078065,0.84422946,0.7823011,1.0019741,0.84529835,0.79691464,0.69674885
31,ID128,mase,0.32559264,0.4367163,0.50399524,0.41411364,0.5203109,0.77174115,1.115829
32,ID129,mase,0.27879775,0.38894236,0.355492,0.4473577,0.3812285,0.34426686,0.47546273
33,ID13,mase,3.3821092,3.362645,3.3487098,3.174612,3.3687572,3.0629835,2.4192407
34,ID130,mase,0.488841,0.6063753,0.546504,0.71978545,0.6367564,0.69267625,1.0970273
35,ID131,mase,1.0409282,1.4266839,1.2126341,1.2553349,1.3287528,1.8377346,1.8247001
36,ID135,mase,1.4837462,1.5578091,1.7097099,1.7878091,1.7481447,1.8186493,3.0528395
37,ID136,mase,0.7165104,0.7164436,0.88511294,0.84522873,0.9903954,0.9633379,0.9531713
38,ID137,mase,1.5161409,1.420168,1.2959366,1.489263,1.3638657,0.9831927,0.60115093
39,ID138,mase,0.60197395,0.73752195,1.07412,0.8731017,0.957573,1.2434586,1.3264941
40,ID139,mase,0.8755047,0.8241154,0.61177343,0.5076076,0.6937806,0.565329,0.88450754
41,ID14,mase,1.6286637,1.6749115,1.6154869,1.6661296,1.7933455,2.2629268,3.4552643
42,ID140,mase,1.7523414,1.6830199,1.5129551,1.6287365,1.4672018,1.5353369,1.5312324
43,ID141,mase,0.79089653,0.79297453,1.0246015,0.6538442,0.89358425,1.1549667,1.2757688
44,ID142,mase,0.6110612,0.60639584,0.8072317,0.7202804,0.84590834,0.90695274,0.69485575
45,ID143,mase,0.97943866,0.7637562,0.68840545,0.95657855,0.68563175,0.3440847,1.1728123
46,ID144,mase,1.1472112,1.1106036,1.4737699,1.1637937,1.3375915,1.5260401,2.8657637
47,ID145,mase,1.7931479,1.5383966,1.4490608,1.563526,1.4101005,1.3258877,1.3393744
48,ID146,mase,0.88088113,1.0183882,0.8253325,0.8119621,0.8268254,0.85877013,1.3084279
49,ID148,mase,0.6570688,0.9270982,0.77416813,0.75210446,0.88569653,1.3509699,1.3203704
50,ID149,mase,0.7675343,0.808352,0.952991,0.8451952,0.8917642,1.571841,1.5996094
51,ID15,mase,0.39084074,0.33230066,0.40429968,0.40726313,0.35959122,0.41742402,0.6028308
52,ID150,mase,0.50588554,0.4945813,0.47562048,0.47061735,0.50322956,0.5591021,0.83690864
53,ID151,mase,1.3525741,1.1488582,1.3060417,1.2060813,1.0503328,1.5305722,1.1294643
54,ID152,mase,1.0451791,1.0866519,1.2946268,1.44894,1.297186,1.1883272,0.8533367
55,ID153,mase,0.67017937,0.54067415,0.58913404,0.53298694,0.5270751,0.6274316,0.9006949
56,ID154,mase,0.2994234,0.40571117,0.41631162,0.31154335,0.4502703,0.82059515,1.3824303
57,ID155,mase,0.14338605,0.15491706,0.16744407,0.14524807,0.13832667,0.23516211,0.46743193
58,ID156,mase,0.900664,0.95276093,1.0755503,0.8059378,1.0393518,1.4405977,1.9656224
59,ID157,mase,0.4443691,0.3138573,0.36412528,0.34192777,0.45888272,0.6958337,1.4077095
60,ID158,mase,0.62172836,0.6610576,0.6999908,0.7144443,0.7908019,0.9777083,1.3308413
61,ID159,mase,1.1129472,1.2116402,1.0627187,1.3431638,1.0928715,0.8867153,0.52017
62,ID16,mase,1.136584,0.9646295,1.0999019,0.85413724,0.97552717,1.0626192,0.8226528
63,ID160,mase,1.006763,1.2865047,1.2213497,1.9133629,1.3129985,1.597429,1.7099007
64,ID161,mase,0.6315571,0.4723792,0.6112992,0.36276567,0.5502599,0.71635896,1.1637948
65,ID162,mase,0.3486133,0.28171003,0.411783,0.2358607,0.3898445,0.5740586,0.967989
66,ID163,mase,1.6689737,1.7547634,1.7091063,1.7409693,1.595745,1.3808436,1.0950634
67,ID164,mase,1.2618629,0.9097156,0.94266,0.8974663,0.7869392,1.1980387,1.2852246
68,ID166,mase,0.5625354,0.6319098,0.50122184,0.57296276,0.5252332,0.49312615,0.8550217
69,ID17,mase,0.70835876,0.6351443,0.54753566,0.7202534,0.58680254,0.5557676,0.81046563
70,ID170,mase,0.81747717,0.78108656,0.86355376,0.65115684,0.80802107,0.8765998,0.85717124
71,ID171,mase,0.6101931,0.5922906,0.6550196,0.595485,0.60662204,0.7015875,0.6593079
72,ID173,mase,0.52066404,0.509528,0.4960869,0.61111224,0.5723398,0.49358165,0.7216893
73,ID174,mase,0.7768525,0.89172745,0.7868872,1.0680503,0.9118155,0.83212477,0.80446875
74,ID175,mase,0.15828545,0.1476951,0.18214837,0.17431408,0.20836402,0.25063062,0.4194902
75,ID176,mase,0.27236107,0.28779167,0.25808176,0.2885752,0.263775,0.23029803,0.402515
76,ID177,mase,0.88611585,0.9052965,0.6438834,0.78262603,0.7443857,0.68454653,1.1875
77,ID178,mase,0.9517724,1.1102766,0.9004442,0.8422287,0.86968285,0.91261744,1.231003
78,ID179,mase,0.665459,0.5666656,0.49603072,0.3281643,0.52208096,0.34205538,0.59108186
79,ID18,mase,0.97419196,0.7952475,0.859394,0.87332696,0.9731671,0.9664984,0.57224244
80,ID180,mase,0.7662989,0.9194017,0.8204277,1.0616884,0.85056245,0.7720309,1.6584953
81,ID181,mase,1.2416618,1.0377445,1.0407451,1.0718575,1.1058493,1.0678829,1.4002092
82,ID182,mase,0.63710785,0.78056157,1.1368103,0.92405725,1.0134588,1.3160315,1.4039319
83,ID183,mase,1.9241531,1.527277,1.652084,1.7487558,1.5199302,1.1514747,1.2428038
84,ID184,mase,0.7594255,0.62167954,0.5324141,0.465536,0.49295664,0.68908334,1.1432112
85,ID185,mase,2.5115116,1.9948497,2.4502892,1.3622603,1.9684005,2.1772537,1.3355491
86,ID186,mase,1.9197232,1.9370869,1.9302828,2.4067423,2.854875,1.7758441,1.0019947
87,ID187,mase,0.3441767,0.36518916,0.40976027,0.3934326,0.38514817,0.41575402,0.4592391
88,ID188,mase,0.9458409,0.9121423,1.3689758,1.0818648,1.2151518,1.409576,0.6239772
89,ID189,mase,0.3794536,0.45285225,0.93268037,0.6292869,0.72234553,0.9659418,0.34181756
90,ID19,mase,1.1783696,0.8784435,1.4156039,1.3078412,1.3333069,1.4472351,0.821764
91,ID190,mase,1.5441704,1.7150768,1.3626189,1.6536162,1.4056224,0.84000546,1.0136229
92,ID191,mase,0.52350813,0.38356364,0.44924688,0.31709224,0.45138747,0.49750185,0.49678412
93,ID192,mase,0.5512541,0.58358204,0.8437303,0.54970706,0.6270723,1.0228049,0.8085548
94,ID193,mase,1.0660305,0.946995,1.0156696,0.84296525,0.99016565,1.0614147,1.1993037
95,ID194,mase,0.871876,0.78608257,0.95422274,0.9511202,1.1687355,1.0702846,1.325091
96,ID195,mase,2.399615,3.1778803,2.4146383,4.2260284,3.0388043,2.675805,2.3057368
97,ID196,mase,0.4820859,0.6930448,0.67760843,0.52541834,0.60379255,0.6366976,1.0120769
98,ID197,mase,1.6271234,1.650392,1.7052137,1.8090587,1.7228718,1.9805046,2.8499756
99,ID198,mase,1.4149655,1.3461274,1.3774732,1.4237779,1.3340663,1.355644,1.6102061
100,ID199,mase,0.89691573,0.7749664,0.88868624,0.80296296,0.7560888,0.85765576,0.98944926
101,ID2,mase,1.2530739,1.0792196,1.470083,1.2183578,1.287393,1.4386519,0.981118
102,ID20,mase,1.6020005,1.4940357,2.3835468,1.8128684,1.9154509,2.4015892,0.8096639
103,ID200,mase,1.5432773,1.2864571,1.6018051,1.3431306,1.3577492,1.5351716,1.4457788
104,ID201,mase,2.0603383,2.7565227,2.0703802,3.7071917,2.6566982,2.2970812,1.9026387
105,ID203,mase,0.85531443,0.76205385,0.4045902,0.90486753,0.5778258,0.5291141,0.8836348
106,ID204,mase,1.5699453,1.4967417,1.6541846,1.3706683,1.4872488,1.7341179,1.4893458
107,ID205,mase,0.5707327,0.590528,0.90549505,0.66013205,0.7488325,1.037359,0.78033537
108,ID206,mase,2.7017846,2.2961,3.789355,2.7309694,2.6251252,4.1554117,0.9249885
109,ID207,mase,0.5756082,0.6418609,0.6527353,0.67612904,0.8082697,1.7841597,2.0252976
110,ID208,mase,0.43010125,0.59101856,0.52738553,0.78213054,0.56063217,0.4257978,0.97635674
111,ID209,mase,1.0918324,1.3927474,1.4989123,1.5281378,1.3790852,1.5809104,0.8431115
112,ID21,mase,0.6837803,0.5785946,0.8389077,0.6957509,0.7633783,0.8422511,0.6866227
113,ID210,mase,0.99805176,1.3262973,1.3022695,1.5510494,1.2996265,1.2181172,0.58718306
114,ID211,mase,0.47500908,0.41916597,0.5243262,0.3370687,0.53916633,0.67885035,1.1463808
115,ID212,mase,1.2000793,1.2228224,1.1726962,1.2484885,0.9514052,0.82508445,0.6344476
116,ID213,mase,4.3435154,4.6154056,4.2388096,5.212589,4.5827765,4.4676743,4.4444447
117,ID214,mase,0.86132634,1.1710899,0.9047686,1.2468737,0.90051323,1.1745489,1.5047021
118,ID215,mase,0.5688147,0.3767591,0.43223387,0.4925453,0.2903509,0.43737406,1.2281715
119,ID216,mase,1.4630151,0.84794945,0.8462295,0.8920389,0.65192354,0.68529713,0.4139799
120,ID217,mase,0.9189634,0.9816953,1.0846127,0.98662627,0.87503415,0.88262266,1.1093439
121,ID218,mase,0.84148604,0.7439213,0.48549202,0.619224,0.50844604,0.4621865,1.1060677
