,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
0,ID0,mase,0.60612524,0.79330456,1.0355765,0.9223909,0.7035239,1.0196432,2.0234146
1,ID1,mase,0.852004,1.1185126,1.1238968,1.3492204,1.2937648,0.099622145,1.7774295
2,ID10,mase,1.21814,1.0410568,1.0638654,1.1038678,1.040641,1.1502156,1.8304552
3,ID101,mase,3.084812,3.511928,2.8805554,4.723854,2.7192068,7.324703,7.6812987
4,ID102,mase,0.7598386,0.46733546,0.55471885,0.6761428,0.5806121,1.6971662,1.6502922
5,ID103,mase,0.8053865,0.73241836,0.76582456,0.8553044,0.747426,1.4674113,2.0384614
6,ID104,mase,0.88065404,1.101987,0.8688957,1.7734673,0.8693322,3.2955015,3.302027
7,ID105,mase,0.47893646,0.3286597,0.52743566,0.4668919,0.658476,1.1867306,1.8073021
8,ID107,mase,0.4619526,0.2563331,0.25109208,0.99351346,0.2629357,2.291424,2.9213116
9,ID108,mase,0.46971688,0.5472811,0.5478251,0.5411507,0.6761457,0.60597765,0.79044586
10,ID109,mase,4.2786283,4.4168315,4.429126,4.435563,4.5470233,3.854451,4.5462613
11,ID110,mase,0.6665157,0.93834,0.9711708,1.0488982,0.9167157,0.9482454,0.49122807
12,ID111,mase,1.0317048,0.8865134,0.89042276,0.9590401,0.86721915,1.5416158,1.6375946
13,ID112,mase,0.9131946,0.9104622,0.7054581,1.4481245,0.5485838,2.603165,2.897561
14,ID113,mase,0.81877553,0.9408705,0.9127933,0.9790251,0.85682726,1.4108307,0.9585925
15,ID114,mase,0.8790109,1.3762101,1.1708868,1.6593561,1.1978831,2.5896928,2.2757685
16,ID115,mase,0.98008776,0.27235004,0.6552508,0.44626874,0.45809865,2.6448565,1.4956268
17,ID116,mase,0.21238266,0.1203662,0.20255594,0.3173472,0.3922205,1.5168561,1.3096288
18,ID117,mase,0.44661713,0.09645647,0.21111093,0.2966714,0.4164137,1.5617948,1.3030236
19,ID118,mase,0.106159076,0.1825006,0.27276054,0.18164168,0.42647588,1.1763074,1.0729381
20,ID119,mase,0.17553659,0.17471696,0.33108586,0.38406035,0.47905242,1.6106884,1.7068273
21,ID12,mase,0.09072629,0.15792601,0.17118683,0.09981346,0.24241757,0.2580499,0.11320755
22,ID120,mase,0.5036573,0.5890632,0.31755313,1.217095,0.19166183,2.4001126,2.8591032
23,ID121,mase,0.16622122,0.40333593,0.49470863,0.58559203,0.75362873,0.573049,0.43619797
24,ID122,mase,0.265042,0.16496606,0.086088695,0.4647051,0.083356686,1.5021851,1.1764195
25,ID123,mase,0.18246365,0.12793492,0.24852836,0.5423637,0.41121683,1.8292664,2.0938842
26,ID124,mase,0.33643943,0.14295633,0.23356932,0.34455872,0.28866526,0.49227247,0.602953
27,ID125,mase,0.5938726,0.45999274,0.68966055,0.6789847,0.48370978,1.0554798,0.16764669
28,ID126,mase,1.3303261,1.3884907,1.2447388,1.7651094,1.0421907,3.1814,2.4829545
29,ID127,mase,0.5344037,0.42687044,0.24933383,1.0266017,0.11899536,2.8581626,2.4201362
30,ID128,mase,0.51966137,0.53249514,0.3492697,1.0320165,0.19692004,2.1889458,2.2648525
31,ID129,mase,1.0972757,1.3537072,1.0190358,1.9717777,1.037245,3.0845466,3.544681
32,ID13,mase,1.0421411,1.1860447,1.2184254,1.1189017,1.2276572,1.4623961,1.4522916
33,ID130,mase,0.89599764,0.9965013,0.75815225,1.5088044,0.6412863,2.6430376,2.8455555
34,ID131,mase,0.22795017,0.27256387,0.3909713,0.1958903,0.6716955,1.8931414,1.3034129
35,ID132,mase,0.15607232,0.31911895,0.3225979,0.1809345,0.48887926,1.174727,1.029176
36,ID133,mase,0.27701417,0.35044348,0.2520175,0.45772627,0.6368833,2.641676,1.7207462
37,ID134,mase,0.8893939,0.9105148,1.1262494,0.81938666,0.79617316,1.9355203,3.1866133
38,ID135,mase,0.6013653,0.477217,0.5658263,0.6141941,0.59574306,0.6898509,0.8353081
39,ID136,mase,0.60346216,0.78413224,0.82056516,0.7127411,0.9928138,0.43486312,0.35698783
40,ID137,mase,0.5026533,0.58189553,0.72260636,0.18880002,0.86603767,0.62061375,1.0893016
41,ID138,mase,0.715829,0.8767954,0.63868403,1.2230492,0.6442314,1.9266615,2.3620977
42,ID139,mase,1.5495518,1.7677786,1.7794025,1.7941923,1.9367213,1.0541229,1.3930285
43,ID14,mase,0.71777844,0.95207864,0.88124037,0.92931294,0.8583597,0.92161113,0.4299994
44,ID140,mase,3.2723677,3.279589,3.4718802,2.4935176,3.568834,2.1210802,0.5714286
45,ID141,mase,2.356087,2.18667,2.5568564,1.6062917,2.6244922,1.6801038,1.0826771
46,ID142,mase,0.36602408,0.59636563,0.7163975,0.23521501,1.0350429,1.6162379,0.8503401
47,ID143,mase,0.39663172,0.2827828,0.52344286,0.24677064,0.64587206,1.4229364,1.574074
48,ID144,mase,0.7178129,0.59606194,0.8232746,0.2020308,0.8538011,0.6368708,1.1627907
49,ID145,mase,0.56121594,0.9104097,0.9933856,0.56892616,1.367611,1.3424052,0.65575624
50,ID146,mase,0.59594005,0.776298,0.81266797,0.7050302,0.984619,0.42763233,0.3498916
51,ID147,mase,0.38175023,0.16831331,0.22958753,0.19729248,0.4661834,1.3282411,0.6132707
52,ID148,mase,0.30350164,0.48041406,0.52947235,0.36495385,0.7438614,0.8319442,0.15455092
53,ID149,mase,0.45480385,0.6134197,0.6616278,0.46124515,0.8305142,0.42670256,0.13126473
54,ID15,mase,1.0113502,1.0042748,1.03107,0.98532856,0.9961878,0.9991093,1.8256366
55,ID150,mase,0.40283203,0.34938648,0.39867017,0.26218498,0.65189666,1.1907718,0.20503615
56,ID151,mase,0.33689052,0.51168,0.551571,0.4134677,0.7418091,0.65540653,0.14474365
57,ID152,mase,0.392512,0.2792327,0.644406,1.0028802,0.6770133,0.8333264,0.46729
58,ID153,mase,1.5727026,0.9582001,1.1653161,1.1038233,1.098574,1.1065035,2.8177965
59,ID154,mase,1.5921211,1.450394,1.7046814,1.6758306,1.9070842,1.8156937,1.3285024
60,ID155,mase,1.3237684,1.1543101,1.4569576,1.5181597,1.2152467,1.9378965,0.8336815
61,ID156,mase,1.3303261,1.3884907,1.2447388,1.7651094,1.0421907,3.1814,2.4829545
62,ID157,mase,0.28937322,0.21070203,0.22495975,0.49128827,0.2275678,1.2267343,1.7381536
63,ID158,mase,0.5657246,0.547204,0.71199936,0.16356908,0.8084733,0.5938349,0.95053196
64,ID159,mase,0.43298933,0.4438375,0.27540335,0.89842355,0.13866144,1.9356649,2.0414534
65,ID16,mase,1.5342658,1.7518957,1.6315763,1.9546317,1.5949664,2.462338,2.4200675
66,ID160,mase,0.7310139,0.8372486,0.95776075,0.46549645,1.113943,0.3568981,0.7446038
67,ID161,mase,0.09757473,0.29272774,0.2515968,0.49857557,0.31137043,1.4353086,1.7895588
68,ID162,mase,2.2798886,2.1774359,2.3484542,2.4147863,2.4432135,2.4610255,0.75376886
69,ID163,mase,2.3508434,2.2526882,2.3938382,2.4801216,2.4830904,2.5246797,0.3829787
70,ID164,mase,2.2223983,2.3951924,2.398292,2.5829334,2.466935,1.9037713,3.0069637
71,ID165,mase,0.25146708,0.33818936,0.3655201,0.21669182,0.450795,0.16384168,0.3997599
72,ID166,mase,1.9131683,1.9848862,2.0005677,1.9731268,2.1043587,1.3450133,1.9655173
73,ID167,mase,2.3970785,2.4672487,2.3278637,2.7830205,2.2645705,3.4393523,3.536042
74,ID168,mase,1.7973288,3.2166069,4.1574373,5.511534,5.0982075,2.3290021,1.2620192
75,ID17,mase,0.51256204,0.55763894,0.58367264,0.5174421,0.5802529,0.75750864,0.93955517
76,ID173,mase,0.41488022,0.25222805,0.31156945,0.28343552,0.32896197,0.7828074,0.38770822
77,ID174,mase,0.32130143,0.38904136,0.29158387,0.58757526,0.25102368,1.04454,1.0432191
78,ID175,mase,0.20016035,0.20124967,0.19114912,0.20405886,0.17575759,0.2725801,0.27427596
79,ID176,mase,2.1935637,2.3889136,2.388974,2.629657,2.4436798,1.8410349,3.3308551
80,ID177,mase,0.49316004,0.397549,0.41305664,0.456411,0.42490014,0.62885356,0.9008314
81,ID178,mase,0.5771043,1.1253278,1.2556586,1.4421607,1.6475589,0.58125055,0.07614206
82,ID179,mase,0.17457654,0.394184,0.54340124,0.76282984,0.84244555,0.6248126,0.5786026
83,ID18,mase,0.9807351,0.9592947,0.9781334,0.95081216,0.9743119,0.9655628,1.5177279
84,ID180,mase,0.2658073,0.5317576,0.467814,0.80069214,0.54627794,0.06449574,1.535254
85,ID181,mase,2.9371192,2.7112665,2.3914628,2.195229,2.3936212,2.5529778,5.72165
86,ID182,mase,1.3438476,1.9400914,1.9190512,2.2944365,2.434771,0.5470538,2.7380283
87,ID183,mase,2.6109345,5.959627,17.263943,13.765895,11.623421,23.675938,2.999998
88,ID184,mase,1.1579658,1.0554522,1.1020911,1.0021055,0.9424607,1.6522007,2.8151262
89,ID185,mase,0.67600834,0.82450056,0.8557004,0.9401697,0.8015446,0.49037138,2.4489794
90,ID186,mase,1.2413652,1.707077,1.8575996,1.1482893,2.5083733,2.3242323,0.35714287
91,ID187,mase,1.6282861,1.5776362,1.6190362,1.598489,1.8256857,1.5532701,0.8241758
92,ID188,mase,4.187043,3.3367994,2.7915184,3.0788038,3.45789,1.6408474,0.95864654
93,ID189,mase,0.21609707,0.17991735,0.22823223,0.114211485,0.36684397,0.7124422,0.37439597
94,ID19,mase,0.9964639,1.2685653,1.2507485,1.4744984,1.2190374,2.2270253,2.1662853
95,ID192,mase,2.2251165,2.6777744,2.7858782,2.38386,3.0922308,2.317475,0.91463417
96,ID193,mase,1.4492602,2.3448088,2.0303018,2.228342,2.9279003,1.4743062,1.374868
97,ID194,mase,0.051363684,0.5158144,0.353791,0.64868796,0.5113234,2.7450662,2.1226304
98,ID195,mase,4.0591483,5.733009,6.009072,5.9434867,7.4081297,1.0252943,2.10476
99,ID196,mase,0.9641052,0.9550186,0.9570796,0.93269867,0.9880882,0.94133604,0.33703357
