,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
0,ID1,mase,0.5102695,0.26460823,0.30954158,0.24449396,1.3309436
1,ID10,mase,1.2484013,1.2044598,1.2890502,1.514462,2.1313908
2,ID100,mase,0.49953413,0.46172613,0.45064744,0.49780956,0.6221448
3,ID101,mase,0.71198714,0.8104355,0.75777847,1.4471992,0.89518845
4,ID102,mase,0.8211915,1.003977,1.0841722,1.481633,1.1054027
5,ID103,mase,0.6465978,0.5901563,0.6164387,0.7714542,0.7836867
6,ID104,mase,1.062197,0.83916426,0.97854257,1.2340107,1.0984397
7,ID105,mase,1.0218539,0.7961,0.9210237,1.1612428,0.99127084
8,ID106,mase,0.35378042,0.34156904,0.33829126,0.77410793,0.4424203
9,ID107,mase,0.94707084,0.9044592,0.9798344,1.0718637,1.1263956
10,ID109,mase,1.1178018,1.1574084,1.1796913,1.1065258,1.3157855
11,ID11,mase,0.905974,0.9101102,0.77120644,0.9103703,1.0275849
12,ID110,mase,1.4906658,0.95426667,1.2860224,0.796506,1.0465004
13,ID111,mase,2.633344,2.2737846,2.4168885,2.148669,3.4543633
14,ID112,mase,0.6567302,0.7690353,0.8761966,0.9531354,1.8122567
15,ID113,mase,0.55164593,0.5960929,0.7255942,0.7698785,1.6487256
16,ID114,mase,0.79941314,0.8077389,0.8557406,0.935347,2.682198
17,ID115,mase,0.30290276,0.22385381,0.29977793,0.26716226,0.6967881
18,ID116,mase,0.8132112,0.7625264,0.7886094,0.9699176,0.56888604
19,ID117,mase,1.3355416,1.0966501,1.2549063,1.6401366,1.1275458
20,ID118,mase,0.7958085,0.5378607,0.9865987,0.63873273,3.9492388
21,ID119,mase,0.5379928,0.59720576,0.7404967,0.86221564,2.0553684
22,ID12,mase,0.9525654,0.9485147,0.96490204,0.8833932,0.9054125
23,ID120,mase,0.24149546,0.2610468,0.27038997,0.42055708,0.32082865
24,ID121,mase,0.4368314,0.3700239,0.43852013,0.54247946,1.612157
25,ID122,mase,0.39268732,0.52963,0.49741104,0.8397322,0.72865075
26,ID123,mase,0.4368314,0.3700239,0.43852013,0.54247946,1.612157
27,ID124,mase,0.32954478,0.3693969,0.36055768,0.49037707,2.326119
28,ID125,mase,0.80081606,0.8740996,0.937082,1.0402136,0.9395154
29,ID126,mase,0.38885722,0.22198442,0.24724475,0.50225973,0.69265115
30,ID127,mase,0.6155248,0.6587949,0.7227398,0.8116168,0.69674885
31,ID128,mase,0.39478064,0.40743884,0.42889568,0.48903286,1.115829
32,ID129,mase,0.39707103,0.4161815,0.4823527,0.3781689,0.47546273
33,ID13,mase,3.7994027,3.3363333,3.4847867,3.1339524,2.4192407
34,ID130,mase,0.47729495,0.6356418,0.55618715,0.6756603,1.0970273
35,ID131,mase,0.7586423,0.9145771,0.8741655,0.9985917,1.8247001
36,ID135,mase,1.2375866,0.67429894,1.3379076,2.145829,3.0528395
37,ID136,mase,0.77424634,0.80045736,0.5965754,1.2372828,0.9531713
38,ID137,mase,1.665229,1.6557671,1.626962,1.4408416,0.60115093
39,ID138,mase,0.62501293,0.63442004,0.73557746,1.0641419,1.3264941
40,ID139,mase,0.57520753,0.55473876,0.5521576,0.5657482,0.88450754
41,ID14,mase,2.2355309,1.9474618,1.9627761,1.6430181,3.4552643
42,ID140,mase,2.252359,1.7875692,1.7022514,1.5836804,1.5312324
43,ID141,mase,0.65224725,0.7354597,0.8785555,0.8404722,1.2757688
44,ID142,mase,0.68394715,0.56428933,0.4924646,0.55396503,0.69485575
45,ID143,mase,1.3326856,1.1463487,1.2425607,0.7043855,1.1728123
46,ID144,mase,0.95860434,0.5709866,0.8847419,1.5792419,2.8657637
47,ID145,mase,1.461091,1.5986981,1.6480434,1.8302757,1.3393744
48,ID146,mase,0.94018507,0.88670623,0.8261778,0.8794067,1.3084279
49,ID148,mase,0.49131864,0.68642455,0.53387,0.60067934,1.3203704
50,ID149,mase,0.7258455,0.8136506,0.838527,0.97002697,1.5996094
51,ID15,mase,0.358695,0.34302706,0.3626793,0.36944404,0.6028308
52,ID150,mase,0.7168032,0.54364747,0.5827063,0.4253186,0.83690864
53,ID151,mase,1.3161904,1.2154531,1.3148477,1.346882,1.1294643
54,ID152,mase,0.703693,1.0337995,0.97561353,1.42626,0.8533367
55,ID153,mase,0.8669279,0.7407213,0.7984988,0.6525542,0.9006949
56,ID154,mase,0.1431685,0.32568213,0.17256571,0.5132407,1.3824303
57,ID155,mase,0.20582792,0.18153544,0.18741167,0.1944169,0.46743193
58,ID156,mase,0.84300405,1.1497703,0.8873751,1.2465103,1.9656224
59,ID157,mase,0.6363071,0.4728343,0.4119321,0.3088818,1.4077095
60,ID158,mase,0.3650161,0.45979205,0.39897484,0.5067957,1.3308413
61,ID159,mase,1.1106511,0.90819657,0.96541584,0.8385365,0.52017
62,ID16,mase,0.7420439,0.82740873,1.0000064,0.91214323,0.8226528
63,ID160,mase,0.7846635,1.2283939,1.0696256,1.5464311,1.7099007
64,ID161,mase,0.916686,0.8781678,0.96266735,0.842143,1.1637948
65,ID162,mase,0.5300963,0.46766615,0.50126207,0.44738516,0.967989
66,ID163,mase,1.2916708,1.5595896,1.6212499,1.5564421,1.0950634
67,ID164,mase,1.2727362,1.086654,1.2417578,1.2657442,1.2852246
68,ID166,mase,0.81363934,0.628523,0.5606003,0.53553116,0.8550217
69,ID17,mase,0.69128317,0.6226239,0.6538096,0.5451016,0.81046563
70,ID170,mase,0.7446431,0.7265908,0.7267938,0.8838213,0.85717124
71,ID171,mase,0.5887939,0.5431005,0.6048966,0.63592297,0.6593079
72,ID173,mase,0.41860396,0.43854094,0.48337525,0.53829104,0.7216893
73,ID174,mase,0.87071073,0.7231321,0.7591535,0.9197814,0.80446875
74,ID175,mase,0.3878716,0.31197834,0.32086378,0.26045305,0.4194902
75,ID176,mase,0.3626903,0.3055659,0.2981634,0.25147253,0.402515
76,ID177,mase,0.90017915,0.8167213,0.7434246,0.655157,1.1875
