,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
0,ID0,mase,0.6116638,0.7110005,0.71186906,0.7877652,2.0234146
1,ID1,mase,0.93392295,1.1563399,1.204678,1.4055225,1.7774295
2,ID10,mase,1.5706285,1.1913104,1.2703142,1.0831923,1.8304552
3,ID101,mase,1.3677837,1.0064132,1.1129495,0.9841617,7.6812987
4,ID102,mase,0.5679342,0.7814845,0.79883707,1.0794923,1.6502922
5,ID103,mase,0.51434094,0.94553024,0.7786801,0.9860787,2.0384614
6,ID104,mase,0.2690884,0.535716,0.48168775,0.7719317,3.302027
7,ID105,mase,0.15301107,0.3853886,0.3403182,0.51980263,1.8073021
8,ID107,mase,1.3783407,0.8916351,0.86904603,0.45354265,2.9213116
9,ID108,mase,0.90897787,1.1148145,1.1869001,1.5764024,0.79044586
10,ID109,mase,4.573489,4.639256,4.703253,4.9467745,4.5462613
11,ID110,mase,0.2524481,0.51096064,0.41150865,1.2163346,0.49122807
12,ID111,mase,0.56261927,0.6245966,0.75777256,0.99340457,1.6375946
13,ID112,mase,0.41616586,0.9002811,0.82267153,1.0752507,2.897561
14,ID113,mase,0.8465937,0.39808524,0.5490705,0.037868228,0.9585925
15,ID114,mase,0.9522653,0.6321651,0.787787,0.67632544,2.2757685
16,ID115,mase,1.1987522,1.3528991,1.5846918,2.4288526,1.4956268
17,ID116,mase,0.08243692,0.032648005,0.03066724,0.0968102,1.3096288
18,ID117,mase,0.25099847,0.28472668,0.27956006,0.3534548,1.3030236
19,ID118,mase,0.18034405,0.11143674,0.111617394,0.0056954315,1.0729381
20,ID119,mase,0.6896329,0.8162816,0.7717684,1.1189265,1.7068273
21,ID12,mase,0.050273556,0.05072737,0.03979731,0.05826406,0.11320755
22,ID120,mase,0.23153572,0.21234287,0.21848129,0.487163,2.8591032
23,ID121,mase,0.4647697,0.46462813,0.44220188,0.47450638,0.43619797
24,ID122,mase,0.4011261,0.3984219,0.38776293,0.26824605,1.1764195
25,ID123,mase,0.5975145,0.32337654,0.29942524,0.05358578,2.0938842
26,ID124,mase,0.33312964,0.25583977,0.25696495,0.27449816,0.602953
27,ID125,mase,0.43664765,1.0084718,1.1377345,1.9195681,0.16764669
28,ID126,mase,1.4720255,1.5489062,1.4426451,1.1470269,2.4829545
29,ID127,mase,0.39538944,0.3598872,0.37565958,0.3356282,2.4201362
30,ID128,mase,0.049271997,0.23217805,0.23515521,0.44100678,2.2648525
31,ID129,mase,0.3075263,0.14428322,0.14498512,0.25948772,3.544681
32,ID13,mase,1.1956998,1.2001618,1.2005951,1.1928309,1.4522916
33,ID130,mase,0.14591111,0.20009305,0.1957482,0.16579506,2.8455555
34,ID131,mase,0.01391216,0.02548059,0.036221597,0.023604315,1.3034129
35,ID132,mase,0.1539765,0.1556508,0.16542895,0.09599564,1.029176
36,ID133,mase,0.7536423,0.6078147,0.65377355,0.4763362,1.7207462
37,ID134,mase,1.551472,1.2757357,1.3146707,0.95545095,3.1866133
38,ID135,mase,0.076358125,0.59647095,0.47738296,0.6475751,0.8353081
39,ID136,mase,0.53468865,0.48767728,0.58303314,0.6800836,0.35698783
40,ID137,mase,1.0025651,0.5513795,0.56050915,0.19508667,1.0893016
41,ID138,mase,0.3226275,0.32650447,0.32378757,0.42764735,2.3620977
42,ID139,mase,1.5231631,1.4053928,1.4280195,1.2943237,1.3930285
43,ID14,mase,0.82144815,0.86243224,0.8039505,0.95585173,0.4299994
44,ID140,mase,2.8657002,3.433565,3.4607675,3.3725994,0.5714286
45,ID141,mase,2.0283902,3.1007204,2.9536285,3.0532162,1.0826771
46,ID142,mase,0.18396962,0.097087935,0.059801217,0.29457378,0.8503401
47,ID143,mase,0.97000754,1.1375087,1.0643846,1.4790726,1.574074
48,ID144,mase,1.5936074,1.3297417,1.3390194,1.1135545,1.1627907
49,ID145,mase,0.34210983,0.23755425,0.34153357,0.33532983,0.65575624
50,ID146,mase,0.5272854,0.48035523,0.5755464,0.67242914,0.3498916
51,ID147,mase,0.46091697,0.4061602,0.37447265,0.34516597,0.6132707
52,ID148,mase,0.11021505,0.13829926,0.13528594,0.27515933,0.15455092
53,ID149,mase,0.09042744,0.14587621,0.15333262,0.14752772,0.13126473
54,ID15,mase,1.4233735,1.2639512,1.324996,1.0795934,1.8256366
55,ID150,mase,0.20647365,0.23311204,0.23090555,0.37338778,0.20503615
56,ID151,mase,0.2221177,0.23465738,0.23618016,0.2894728,0.14474365
57,ID152,mase,0.4405845,0.38848153,0.41007364,0.43911427,0.46729
58,ID153,mase,1.1136662,3.3767087,2.5064821,5.0431724,2.8177965
59,ID154,mase,0.37234488,1.4644568,1.5525818,2.2321784,1.3285024
60,ID155,mase,0.6725475,1.6362492,1.9238558,3.320799,0.8336815
61,ID156,mase,1.4720255,1.5489062,1.4426451,1.1470269,2.4829545
62,ID157,mase,1.1923593,0.65387887,0.6991672,0.37622356,1.7381536
63,ID158,mase,1.0969671,0.7718568,0.7917042,0.56607896,0.95053196
64,ID159,mase,0.08660901,0.17907222,0.17521721,0.37006187,2.0414534
65,ID16,mase,1.7992768,1.6216397,1.6810362,1.353136,2.4200675
66,ID160,mase,1.0302579,0.64623564,0.769987,0.40000853,0.7446038
67,ID161,mase,0.7521121,0.5066359,0.52600515,0.32964104,1.7895588
68,ID162,mase,1.2539953,2.4068305,2.4376273,2.9661684,0.75376886
69,ID163,mase,1.6666001,2.3803437,2.544713,2.831161,0.3829787
70,ID164,mase,2.7213979,2.6393912,2.6128287,2.7456126,3.0069637
71,ID165,mase,0.2950434,0.12696402,0.24935551,0.167852,0.3997599
72,ID166,mase,2.076226,2.1206222,2.2114391,2.3058121,1.9655173
73,ID167,mase,1.8737674,1.8571976,1.8743684,1.8034289,3.536042
74,ID168,mase,0.21900976,0.2668224,0.24882066,0.31819987,1.2620192
75,ID17,mase,1.3537892,1.3995683,1.3915377,1.329208,0.93955517
76,ID173,mase,0.3769826,0.5467371,0.44042414,0.67103803,0.38770822
77,ID174,mase,0.16963272,0.179296,0.17715478,0.18894339,1.0432191
78,ID175,mase,0.22011657,0.20768474,0.21714416,0.17751661,0.27427596
79,ID176,mase,2.7585053,2.7988646,2.7660968,2.9619813,3.3308551
80,ID177,mase,0.37594354,0.3645451,0.35426524,0.44141382,0.9008314
81,ID178,mase,0.04790761,0.08616653,0.09677011,0.06354884,0.07614206
